""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"
""	"CFB; CFH; C7; A2M; STAB1; IL1A; IFNA7; IFNA10; MMP12; TNR; ITGB4; IMPG2; IFNA21; PRL; IFNA8; AMER2"	""	"subgroup anti-polysaccharide antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CFB; CFH; C7; A2M; STAB1; IL1A; IFNA7; IFNA10; MMP12; TNR; ITGB4; IMPG2; IFNA21; PRL; IFNA8; AMER2"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Fig 5b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F5/"	""	"16"	"16"	"5"	"19"	"24336226_5_19"
""	"C3; C2; C1S; C1R; CFH; C7; A2M; C1QC; GPX1; CCL20; PTX3; IL6; IL1B; CXCL8; IFNA14; TNR; LAMC2; IMPG2; PRL"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"C3; C2; C1S; C1R; CFH; C7; A2M; C1QC; GPX1; CCL20; PTX3; IL6; IL1B; IL8; IFNA14; TNR; LAMC2; IMPG2; PRL"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Fig 5b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F5/"	""	"19"	"19"	"6"	"20"	"24336226_6_20"
""	"SERPING1; CFB; C2; C1QB; C5AR1; C1QA; CFH; A2M; C1QC; GPX1; CARD9; ARRB2; APOBR; CCL20; PTX3; IL1A; IL1B; CXCL8; TNF; LHCGR; IFNA7; IFNA16; MMP12; LAMC2; ST14; IMPG2; SFN; IFNA2; AMER2"	""	""	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SERPING1; CFB; C2; C1QB; C5AR1; C1QA; CFH; A2M; C1QC; GPX1; CARD9; ARRB2; APOBR; CCL20; PTX3; IL1A; IL1B; IL8; TNF; LHCGR; IFNA7; IFNA16; MMP12; LAMC2; ST14; IMPG2; SFN; IFNA2; AMER2"	"N"	"gene expression"	"up"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"Menomune A/C/Y/W-135"	"VO:0010727"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Fig 5b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F5/"	""	"29"	"29"	"7"	"21"	"24336226_7_21"
""	"C3; SERPING1; C3AR1; C2; C1QB; C1R; C5AR1; CFD; C1QA; CFI; TYROBP; TBC1D8; GPX1; AIF1; TLR4; FCER1G; CARD9; APOBR; CCL20; PTX3; CCRL2; IL6; IL1B; CXCL8; TNF; LHCGR; IFNA4; IFNA16; ST14; IFNA2; IFNA21; FGF5"	""	"subgroup anti-polysaccharide antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"C3; SERPING1; C3AR1; C2; C1QB; C1R; C5AR1; CFD; C1QA; CFI; TYROBP; TBC1D8; GPX1; AIF1; TLR4; FCER1G; CARD9; APOBR; CCL20; PTX3; CCRL2; IL6; IL1B; IL8; TNF; LHCGR; IFNA4; IFNA16; ST14; IFNA2; IFNA21; FGF5"	"N"	"gene expression"	"up"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Fig 5b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F5/"	""	"33"	"32"	"8"	"22"	"24336226_8_22"
""	"IL1R2; CD9; CD1B; CD1C; PCTP; HLA-DPB1; HLA-DPA1; HLA-DQB1; HLA-DRA; HLA-DRB1; CD74; HLA-A; HLA-C; HLA-E; CD4; HLA-G; CD83; SLAMF8; CXCL2; PLXDC2; ATP1B1; HLA-DMA; WDFY4; FAR2; ASPH; HMOX1; SLC27A2; PTGS2; PLAUR; TNF; NFKBID; NFKB2; MAP3K8; IL23A; CCL5; EBI3; BCL3; ICAM1; CCL20; PDE4B; CD80; IFNG; IL1B"	""	""	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL1R2; CD9; CD1B; CD1C; PCTP; HLA-DPB1; HLA-DPA1; HLA-DQB1; HLA-DRA1; HLA-DRB1; CD74; HLA-A; HLA-C; HLA-E; CD4; HLA-G; CD83; SLAMF8; CXCL2; PLXDC2; ATP1B1; HLA-DMA; WDFY4; FAR2; ASPH; HMOX1; SLC27A2; PTGS2; PLAUR; TNF; NFKBID; NFKB2; MAP3K8; IL23A; CCL5; EBI3; BCL3; ICAM1; CCL20; PDE4B; CD80; IFNG; IL1B"	"N"	"gene expression"	"positively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"Menomune A/C/Y/W-135"	"VO:0010727"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg"	""	"43"	"43"	"9"	"23"	"24336226_9_23"
""	"CSF1R; ANPEP; TLR8; ASGR1; BCL6; AP1S2; HLA-DQA1; HLA-F; TLR7; RIN2; IL4I1; PRKCD; CD86; RGL1; CD1D; METTL7A; CYP1B1; GPAT3; FUT7; SAMSN1; CCN2; STAT4; HS3ST3B1; TNFAIP6; CCL4"	""	""	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CSF1R; ANPEP; TLR8; ASGR1; BCL6; AP1S2; HLA-DQA1; HLA-F; TLR7; RIN2; IL4I1; PRKCD; CD86; RGL1; CD1D; METTL7A; CYP1B1; GPAT3; FUT7; SAMSN1; CTGF; STAT4; HS3ST3B1; TNFAIP6; CCL4"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"Menomune A/C/Y/W-135"	"VO:0010727"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg"	""	"25"	"25"	"10"	"24"	"24336226_10_24"
""	"CSF1R; CD9; CD1B; CD1C; CSF2RA; CD1A; TLR8; TBXAS1; ASGR2; TNFSF13B; ASGR1; BCL6; PCTP; HLA-DPB1; HLA-DPA1; HLA-DRA; HLA-DQA1; HLA-DRB1; HLA-DRB4; HLA-F; TLR7; HLA-A; HLA-B; HLA-E; HLA-G; CD83; SLAMF8; RIN2; IL4I1; PRKCD; IL1RN; CXCL2; CD86; RGL1; PLXDC2; CD1D; HLA-DMA; METTL7A; FAR2; CYP1B1; HMOX1; RTN1; PTGS2; PLAUR; TNF; NFKBID; FUT7; MAP3K8; SAMSN1; RELB; EBI3; ICAM1; CCL20; PDE4B; GCH1; IFNG; CCL4; TNFAIP6; SERPINB9; IL1B"	""	"subgroup anti-polysaccharide antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CSF1R; CD9; CD1B; CD1C; CSF2RA; CD1A; TLR8; TBXAS1; ASGR2; TNFSF13B; ASGR1; BCL6; PCTP; HLA-DPB1; HLA-DPA1; HLA-DRA; HLA-DQA1; HLA-DRB1; HLA-DRB4; HLA-F; TLR7; HLA-A; HLA-B; HLA-E; HLA-G; CD83; SLAMF8; RIN2; IL4I1; PRKCD; IL1RN; CXCL2; CD86; RGL1; PLXDC2; CD1D; HLA-DMA; METTL7A; FAR2; CYP1B1; HMOX1; RTN1; PTGS2; PLAUR; TNF; NFKBID; FUT7; MAP3K8; SAMSN1; RELB; EBI3; ICAM1; CCL20; PDE4B; GCH1; IFNG; CCL4; TNFAIP6; SERPINB9; IL1B"	"N"	"gene expression"	"positively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg"	""	"60"	"60"	"11"	"25"	"24336226_11_25"
""	"IL1R2; IL1R1; SLC40A1; AP1S2; HLA-DQB1; HLA-C; CD4; WDFY4; ASPH; ITPR3; SLC27A2; LPCAT1; VCAM1; IL23A; BCL3; CCN2; STAT4; CD80; HS3ST3B1"	""	"subgroup anti-polysaccharide antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL1R2; IL1R1; SLC40A1; AP1S2; HLA-DQB1; HLA-C; CD4; WDFY4; ASPH; ITPR3; SLC27A2; AGPAT9; VCAM1; IL23A; BCL3; CTGF; STAT4; CD80; HS3ST3B1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg"	""	"19"	"19"	"12"	"26"	"24336226_12_26"
""	"IL1R2; CSF1R; CD1B; CD1C; CSF2RA; CD1A; TLR8; TBXAS1; TNFSF13B; ASGR1; HLA-DPB1; HLA-DPA1; HLA-DQB1; HLA-DRA; HLA-DRB1; HLA-DRB4; CD74; TLR7; HLA-A; HLA-C; HLA-G; SLAMF8; RIN2; PRKCD; CD86; PLXDC2; CD1D; METTL7A; HLA-DMB; FAR2; ASPH; HMOX1; AGPAT1; RTN1; NFKBID; FUT7; SAMSN1; HS3ST3B1; GCH1; IFNG"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL1R2; CSF1R; CD1B; CD1C; CSF2RA; CD1A; TLR8; TBXAS1; TNFSF13B; ASGR1; HLA-DPB1; HLA-DPA1; HLA-DQB1; HLA-DRA; HLA-DRB1; HLA-DRB4; CD74; TLR7; HLA-A; HLA-C; HLA-G; SLAMF8; RIN2; PRKCD; CD86; PLXDC2; CD1D; METTL7A; HLA-DMB; FAR2; ASPH; HMOX1; AGPAT1; RTN1; NFKBID; FUT7; SAMSN1; HS3ST3B1; GCH1; IFNG"	"N"	"gene expression"	"positively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg"	""	"40"	"40"	"13"	"27"	"24336226_13_27"
""	"CD9; PCTP; HLA-DQA1; HLA-B; CD4; CD83; IL4I1; IL1RN; CXCL2; HLA-DMA; CYP1B1; PLAUR; NFKB2; MAP3K8; IL23A; CCL5; RELB; BCL3; ICAM1; CCL20; PDE4B; STAT4; CD80; CCL4; TNFAIP6; SERPINB9; IL1B"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD9; PCTP; HLA-DQA1; HLA-B; CD4; CD83; IL4I1; IL1RN; CXCL2; HLA-DMA; CYP1B1; PLAUR; NFKB2; MAP3K8; IL23A; CCL5; RELB; BCL3; ICAM1; CCL20; PDE4B; STAT4; CD80; CCL4; TNFAIP6; SERPINB9; IL1B"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg"	""	"27"	"27"	"14"	"28"	"24336226_14_28"
""	"C3AR1; CFB; C5AR1; CFD; CFI; CR1; TYROBP; STAB1; TBC1D8; TLR4; FCER1G; CARD9; ARRB2; CCRL2; IL1A; IFNA7; ADAMTS20; IFNA16; IFNA10; ITGB4; ST14; COL8A1; SFN; IFNA2; IFNA5; IFNA21; IFNA8"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"C3AR1; CFB; C5AR1; CFD; CFI; CR1; TYROBP; STAB1; TBC1D8; TLR4; FCER1G; CARD9; ARRB2; CCRL2; IL1A; IFNA7; ADAMTS20; IFNA16; IFNA10; ITGB4; ST14; COL8A1; SFN; IFNA2; IFNA5; IFNA21; IFNA8"	"N"	"gene expression"	"up"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg"	""	"27"	"27"	"15"	"29"	"24336226_15_29"
