""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"	"target_pathogen_taxonid_4"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"ZNF146"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"ZNF146"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"KCMF1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"KCMF1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"NAPA"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"NAPA"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"IRX1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"IRX1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"ITPRIPL2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"ITPRIPL2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"SPATA13"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"SPATA13"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"NPC2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"NPC2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"STAC2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"STAC2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"SERPINA13P"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"SERPINA13"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"RXRG"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"RXRG"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"MUC6"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"MUC6"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"KDM2B"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"KDM2B"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"PTPN6"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"PTPN6"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"BDKRB1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"BDKRB1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"BANF2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"BANF2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"FARP2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"FARP2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"EPPK1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"EPPK1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"RTF1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"RTF1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"AKAP7"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"AKAP7"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"PRR14L"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"C22orf30"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"RBMX2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"RBMX2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"DUSP5"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"DUSP5"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"VSX2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"CHX10"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_8"	"2013.07.24"	"hipc_vac_gene_23878721_8"	"PGLYRP4"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"PGLYRP4"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"14"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"32"	"28"	"8"	"253"	"23878721_8_253"	"hipc_vac_gene_sig_23878721_8.txt"	"hipc_vac_gene_sig_complete_23878721_8.txt"	"504904"	"476294"	"461739"	"604436"
