""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"CD22"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD22"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"CD72"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD72"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"CD79A"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD79A"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"CD79B"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD79B"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"FCRL1"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FCRL1"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"BANK1"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"BANK1"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"MEG3"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"MEG3"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"FCRLA"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FCRLA"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"PPP1R17"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PPP1R17"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"P2RX5"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"P2RX5"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"FCRL2"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FCRL2"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"CXCR5"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CXCR5"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"GPR20"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"GPR20"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"CFH"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CFH"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"MS4A1"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"MS4A1"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"TNFRSF13C"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"TNFRSF13C"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"MTSS1"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"MTSS1"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"FAM30A"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FAM30A"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"DOK7"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"DOK7"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"NIBAN3"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"NIBAN3"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"C8G"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"C8G"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"FCRL5"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FCRL5"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"PCDH9"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PCDH9"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
""	"hipc_vac_gene_26726811_10"	"2016.01.05"	"hipc_vac_gene_26726811_10"	"RUBCNL"	""	"subroup medium/high AE subjects"	"18"	"64"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"RUBCNL"	"N"	"gene expression"	"up"	"-7d vs 1d"	"time of vaccination"	"1"	"day"	"VO:0000410"	""	"1316510"	"pan"	"AS03 (GSK)"	""	""	"26726811"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"2016"	"Suppl. Fig 8"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/bin/NIHMS65741-supplement-1.pdf' target='_blank'>supplement-1.pdf</a>"	""	"39"	"39"	"10"	"483"	"26726811_10_483"	"hipc_vac_gene_sig_26726811_10.txt"	"hipc_vac_gene_sig_complete_26726811_10.txt"
