""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"TMEM59"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"TMEM59"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"CAP1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"CAP1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"MATR3"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"MATR3"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"GLUL"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"GLUL"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"UBE2D3"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"UBE2D3"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"GLO1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"GLO1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"UBE2L3"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"UBE2L3"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"KDELR2"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"KDELR2"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"PPP1CC"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"PPP1CC"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"PTP4A1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"PTP4A1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"GNB1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"GNB1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"NUMA1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"NUMA1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"DPYSL2"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"DPYSL2"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"CTNNA1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"CTNNA1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"MAT2A"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"MAT2A"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"LAMC1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"LAMC1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"BZW1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"BZW1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"ECH1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"ECH1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_gene_21743478_22"	"2011.07.12"	"hipc_vac_gene_21743478_22"	"ODC1"	""	""	"18"	"50"	"years"	""	"plasmacytoid dendritic cell"	"CL:0000784"	"ODC1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000044"	""	"2008"	""	""	""	"21743478"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"2011"	"Supplementary Table 2a: LAIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	"1376"	"1219"	"22"	"299"	"21743478_22_299"	"hipc_vac_gene_sig_21743478_22.txt"	"hipc_vac_gene_sig_complete_21743478_22.txt"	"504904"	"476294"	"461739"
