""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"LTF"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"LTF"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"CRISP3"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"CRISP3"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"CAMP"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"CAMP"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"MMP8"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"MMP8"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"OLR1"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"OLR1"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"ANXA3"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"ANXA3"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"TCN1"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"TCN1"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"MS4A3"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"MS4A3"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"ARG1"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"ARG1"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"TKTL1"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"TKTL1"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"FOLR3"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"FOLR3"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"CCL4"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"CCL4"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"DOCK4"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"DOCK4"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
