""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"CD4"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD4"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"CD83"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD83"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"IL4I1"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL4I1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"IL1RN"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL1RN"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"CXCL2"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CXCL2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"HLA-DMA"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"HLA-DMA"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"CYP1B1"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CYP1B1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"PLAUR"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PLAUR"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"NFKB2"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"NFKB2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"MAP3K8"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"MAP3K8"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"IL23A"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL23A"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"CCL5"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CCL5"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"RELB"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"RELB"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"BCL3"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"BCL3"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"ICAM1"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"ICAM1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"CCL20"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CCL20"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"PDE4B"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PDE4B"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"STAT4"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"STAT4"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"CD80"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD80"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"CCL4"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CCL4"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"TNFAIP6"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"TNFAIP6"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"SERPINB9"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SERPINB9"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
""	"hipc_vac_gene_24336226_14"	"2013.12.18"	"hipc_vac_gene_24336226_14"	"IL1B"	""	"subgroup anti-DT antibody-correlation profile"	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL1B"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"3"	"days"	"VO:0000071"	""	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Supplementary Fig 13"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/bin/NIHMS540680-supplement-13.jpg' target='_blank'>supplement-13.jpg</a>"	""	"27"	"27"	"14"	"28"	"24336226_14_28"	"hipc_vac_gene_sig_24336226_14.txt"	"hipc_vac_gene_sig_complete_24336226_14.txt"
