""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"	"target_pathogen_taxonid_4"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"FSTL4"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"FSTL4"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"CAMK1G"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"CAMK1G"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"NINJ2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"NINJ2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"SPICE1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"CCDC52"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"ACTG1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"ACTG1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"FBXO7"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"FBXO7"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"ARPC2"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"ARPC2"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"ADIPOR1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"ADIPOR1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"CAMK2A"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"CAMK2A"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"FBXO9"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"FBXO9"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
