""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"cell_ontology_id"	"pro_ontology_id"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"
""	"antibody secreting cell"	""	""	"18"	"45"	"years"	""	"blood"	"UBERON:0000178"	"antibody secreting cell"	"cell type frequency"	"positively correlated"	"d7 serum anti-DT IgG"	"time of vaccination (first dose)"	"7"	"days"	"Menactra"	"VO:0000071"	""	"neisseria meningitidis"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"Fig 1G"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	"CL:0000946"	""	"1"	"1"	"5"	"12"	"24336226_5_12"
""	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	""	"young (20–30 years), older (60 to >89 years)"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination (first dose)"	"0"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Fig 5"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f5/"	""	"CL:0000904"	""	"2"	"2"	"1"	"13"	"23591775_1_13"
""	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell"	""	"young (20–30 years), older (60 to >89 years), subgroup good responders"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination (first dose)"	"0"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Suppl Fig 3"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/#S1"	""	"CL:0000904"	""	"4"	"4"	"2"	"14"	"23591775_2_14"
""	"naive thymus-derived CD8-positive, alpha-beta T cell"	""	"young (20–30 years), older (60 to >89 years), subgroup good responders"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"naive thymus-derived CD8-positive, alpha-beta T cell"	"cell type frequency"	"positively predictive"	"d28 HAI"	"time of vaccination (first dose)"	"0"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Suppl Fig 3"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/#S1"	""	"CL:0000900"	""	"1"	"1"	"3"	"15"	"23591775_3_15"
""	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	""	"young (20–30 years), older (60 to >89 years)"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination (first dose)"	"28"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Fig 5"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f5/"	""	"CL:0000904"	""	"2"	"2"	"4"	"16"	"23591775_4_16"
""	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell"	""	"young (20–30 years), older (60 to >89 years)"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination (first dose)"	"28"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Fig 7"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/"	""	"CL:0000904"	""	"4"	"4"	"5"	"17"	"23591775_5_17"
""	"naive thymus-derived CD8-positive, alpha-beta T cell"	""	"young (20–30 years), older (60 to >89 years)"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"naive thymus-derived CD8-positive, alpha-beta T cell"	"cell type frequency"	"positively predictive"	"d28 HAI"	"time of vaccination (first dose)"	"28"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Fig 7"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/"	""	"CL:0000900"	""	"1"	"1"	"6"	"18"	"23591775_6_18"
""	"plasmablast"	""	""	"18"	"64"	"years"	""	"blood"	"UBERON:0000178"	"plasmablast"	"cell type frequency"	"up"	"7d vs 0d"	"time of vaccination (first dose)"	"7"	"days"	"Pneumovax 23"	"VO:0000088"	""	"streptococcus pneumoniae"	""	""	""	""	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"Fig 6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/"	""	"CL:0000980"	""	"1"	"1"	"1"	"19"	"23601689_1_19"
""	"plasmablast"	""	""	"18"	"64"	"years"	""	"blood"	"UBERON:0000178"	"plasmablast"	"cell type frequency"	"up"	"10d vs 0d"	"time of vaccination (first dose)"	"10"	"days"	"Pneumovax 23"	"VO:0000088"	""	"streptococcus pneumoniae"	""	""	""	""	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"Fig 6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/"	""	"CL:0000980"	""	"1"	"1"	"2"	"20"	"23601689_2_20"
""	"plasmablast"	""	""	"18"	"64"	"years"	""	"blood"	"UBERON:0000178"	"plasmablast"	"cell type frequency"	"up"	"7d vs 0d"	"time of vaccination (first dose)"	"7"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2009"	""	""	""	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"Fig 6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/"	""	"CL:0000980"	""	"1"	"1"	"3"	"21"	"23601689_3_21"
""	"natural killer cell & CD56-bright"	""	""	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD56-bright natural killer (NK) cells"	"cell type frequency"	"positively correlated"	"antibody response at 28d and onward"	"time of vaccination (first dose)"	"3"	"days"	"rVSV-EBOV"	"VO:0004660"	""	"ebola virus"	""	""	""	""	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/"	"Fig 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig4/"	""	"CL:0000623"	"PR:000001024"	"1"	"1"	"1"	"22"	"28854372_1_22"
""	"IgG memory B cell & CD3-, CD19+, CD27+, HLADR+, IgG+; IgG memory B cell & CD3-, CD19+, CD27+, CD10-, CD20+, HLADR+, IgG+"	""	""	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"switched IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, IgG+); IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, CD10-, CD20+, IgG+)"	"cell type frequency"	"negatively correlated"	"antibody response at 28d and onward"	"time of vaccination (first dose)"	"3"	"days"	"rVSV-EBOV"	"VO:0004660"	""	"ebola virus"	""	""	""	""	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/"	"Fig 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig4/"	""	"CL:0000979"	"PR:000001020, PR:000001002, PR:000001963"	"2"	"2"	"2"	"23"	"28854372_2_23"
""	"myeloid dendritic cell & CD86-positive; myeloid dendritic cell & CCR7+; monocyte & CD40, CD86; natural killer cell & CD38+, CD56-dim"	""	""	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD86+ myeloid dendritic cells (mDCs); CCR7+ myeloid dendritic cells (mDCs); CD40/CD86+ monocytes; CD38+ CD56-dim natural killer (NK) cells"	"cell type frequency"	"up"	"1d vs 0d"	"time of vaccination (first dose)"	"1"	"day"	"rVSV-EBOV"	"VO:0004660"	""	"ebola virus"	""	""	""	""	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/"	"Fig 2A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig2/"	""	"CL:0000782"	"PR:000001412"	"4"	"4"	"3"	"24"	"28854372_3_24"
""	"plasmacytoid dendritic cell & CD40+, CD86+; myeloid dendritic cell & CD86-positive; monocyte & CD86-positive, CD16-positive, inflammatory; monocyte & CD40, CD86; monocyte & CD16-positive, inflammatory; natural killer cell & CD38+, CD56-dim; natural killer cell & CD56-dim, NKG2D+; natural killer cell & CD56-bright"	""	""	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD40/CD86+ plasma dendritic cells (pDCs); CD86+ myeloid dendritic cells (mDCs); CD86+ CD16+ inflammatory monocytes; CD40/CD86+ monocytes; CD16+ inflammatory monocytes; CD38+ CD56dim natural killer (NK) cells; NKG2D+ CD56dim natural killer (NK) cells; CD56bright natural killer (NK) cells"	"cell type frequency"	"up"	"3d vs 0d"	"time of vaccination (first dose)"	"3"	"days"	"rVSV-EBOV"	"VO:0004660"	""	"ebola virus"	""	""	""	""	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/"	"Fig 2A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig2/"	""	"CL:0000784"	"PR:P29965, PR:000001412 "	"8"	"8"	"4"	"25"	"28854372_4_25"
""	"T cell & IFNG+"	""	""	"14"	"26"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"interferon-gamma-positive T cells"	"cell type frequency"	"up"	"28d (postboost) vs 0d (pre-imm)"	"time of vaccination (second dose)"	"28"	"days"	"Imuvac"	"VO:0003144"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Victoria/361/2011(H3N2)); influenza B virus (B/Wisconsin/01/2010)"	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/"	"Fig 2B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/"	""	"CL:0000084"	"PR:000000017"	"1"	"1"	"1"	"26"	"26755593_1_26"
""	"T cell & IFNG+"	""	""	"14"	"26"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"interferon-gamma-positive T cells"	"cell type frequency"	"up"	"28d (postboost) vs 0d (pre-imm)"	"time of vaccination (second dose)"	"28"	"days"	"Fluad"	"VO:0004281"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Victoria/361/2011(H3N2)); influenza B virus (B/Wisconsin/01/2010)"	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/"	"Fig 2B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/"	""	"CL:0000084"	"PR:000000017"	"1"	"1"	"2"	"27"	"26755593_2_27"
""	"effector memory CD4-positive, alpha-beta T cell & TNF-a, IL-2+; effector memory CD4-positive, alpha-beta T cell & IFNG-, TNF-a+, IL-2+"	""	""	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"intereferon-gamma-positive, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell; intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"cell type frequency"	"up"	"28d (postboost) vs 0d (pre-imm)"	"time of vaccination (second dose)"	"28"	"days"	"Fluad"	"VO:0004281"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Victoria/361/2011(H3N2)); influenza B virus (B/Wisconsin/01/2010)"	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/"	"Fig 2A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/"	""	"CL:0000905"	"PR:000000134, PR:000001379"	"2"	"2"	"3"	"28"	"26755593_3_28"
""	"B cell; CD4-positive, alpha-beta T cell; CD16-positive, CD56-dim natural killer cell, human; CD8-positive, alpha-beta T cell; granulocyte; lymphocyte"	""	""	"20"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"B cell; CD4+ alpha-beta T cell; CD16+ CD56dim natural killer cell; CD8+ alpha-beta T cell; granulocyte; lymphocyte"	"cell type frequency"	"down"	"1d vs 0d"	"time of vaccination (first dose)"	"1"	"days"	"MRKAd5/HIV"	"VO:0003133"	""	"human immunodeficiency virus 1"	""	""	""	""	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/"	"Fig. 1E"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/"	""	"CL:0000236"	""	"6"	"6"	"1"	"29"	"23151505_1_29"
""	"CD14-positive, CD16-negative classical monocyte"	""	""	"20"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD14+ CD16- classical monocyte"	"cell type frequency"	"up"	"1d vs 0d"	"time of vaccination (first dose)"	"1"	"days"	"MRKAd5/HIV"	"VO:0003133"	""	"human immunodeficiency virus 1"	""	""	""	""	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/"	"Fig. 1E"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/"	""	"CL:0002057"	""	"1"	"1"	"2"	"30"	"23151505_2_30"
""	"CD14-positive, CD16-negative classical monocyte; CD16-positive, CD56-dim natural killer cell, human"	""	""	"20"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD14+ CD16- classical monocyte; CD16+ CD56-dim natural killer cell"	"cell type frequency"	"up"	"3d vs 0d"	"time of vaccination (first dose)"	"3"	"days"	"MRKAd5/HIV"	"VO:0003133"	""	"human immunodeficiency virus 1"	""	""	""	""	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/"	"Fig. 1E"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/"	""	"CL:0002057"	""	"2"	"2"	"3"	"31"	"23151505_3_31"
""	"B cell"	""	""	"20"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"B cell"	"cell type frequency"	"down"	"3d vs 0d"	"time of vaccination (first dose)"	"3"	"days"	"MRKAd5/HIV"	"VO:0003133"	""	"human immunodeficiency virus 1"	""	""	""	""	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/"	"Fig. 1E"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/"	""	"CL:0000236"	""	"1"	"1"	"4"	"32"	"23151505_4_32"
""	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	""	"subgroup low responders"	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	"cell type frequency"	"up"	"7d vs 0d"	"time of vaccination (first dose)"	"7"	"days"	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO:0003120"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"23844129"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"Fig 2b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/figure/pone-0067922-g002/"	""	"CL:0000792"	""	"1"	"1"	"1"	"33"	"23844129_1_33"
""	"plasma cell"	""	""	"30"	"70"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"plasma cell"	"cell type frequency"	"positively correlated"	"MenC SBA at day 28"	"time of vaccination (first dose)"	"7"	"days"	"Menveo; ACWYVax"	"VO:0001246; VO:0003138"	""	"neisseria meningitidis"	""	""	""	""	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28137280"	"Table 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5282650/table/Tab2/"	""	"CL:0000786"	""	"1"	"1"	"1"	"34"	"28137280_1_34"
""	"T cell & IFNG+"	""	""	"50"	"75"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IFN-gamma+ antigen specific T cell"	"cell type frequency"	"up"	"8d vs 0d"	"time of vaccination (first dose)"	"8"	"days"	"Zostavax"	"VO:0000124"	""	"human alphaherpesvirus 3"	""	""	""	""	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"Fig 1a, text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/"	""	"CL:0000084"	"PR:000000017"	"1"	"1"	"1"	"35"	"27764254_1_35"
""	"T cell & IFNG+"	""	""	"50"	"75"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IFN-gamma+ antigen specific T cell"	"cell type frequency"	"up"	"14d vs 0d"	"time of vaccination (first dose)"	"14"	"days"	"Zostavax"	"VO:0000124"	""	"human alphaherpesvirus 3"	""	""	""	""	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"Fig 1a, text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/"	""	"CL:0000084"	"PR:000000017"	"1"	"1"	"2"	"36"	"27764254_2_36"
""	"T cell & IFNG+"	""	""	"50"	"75"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IFN-gamma+ antigen specific T cell"	"cell type frequency"	"up"	"28d vs 0d"	"time of vaccination (first dose)"	"28"	"days"	"Zostavax"	"VO:0000124"	""	"human alphaherpesvirus 3"	""	""	""	""	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"Fig 1a, text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/"	""	"CL:0000084"	"PR:000000017"	"1"	"1"	"3"	"37"	"27764254_3_37"
""	"T cell & IFNG+"	""	""	"50"	"75"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IFN-gamma+ antigen specific T cell"	"cell type frequency"	"down"	"28d vs 8d"	"time of vaccination (first dose)"	"28"	"days"	"Zostavax"	"VO:0000124"	""	"human alphaherpesvirus 3"	""	""	""	""	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"Fig 1a, text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/"	""	"CL:0000084"	"PR:000000017"	"1"	"1"	"4"	"38"	"27764254_4_38"
""	"CD4-positive, alpha-beta T cell & CD38+, HLA-DR+, VZV tetramer+"	""	""	"50"	"75"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD38+HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)"	"cell type frequency"	"up"	"8d vs 0d"	"time of vaccination (first dose)"	"8"	"days"	"Zostavax"	"VO:0000124"	""	"human alphaherpesvirus 3"	""	""	""	""	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"Fig 6b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g006/"	""	"CL:0000624"	"PR:000001408"	"1"	"1"	"5"	"39"	"27764254_5_39"
""	"CD4-positive, alpha-beta T cell & CD38+, HLA-DR+, VZV tetramer+"	""	""	"50"	"75"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD38+ HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)"	"cell type frequency"	"up"	"14d vs 0d"	"time of vaccination (first dose)"	"14"	"days"	"Zostavax"	"VO:0000124"	""	"human alphaherpesvirus 3"	""	""	""	""	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"Fig 6b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g006/"	""	"CL:0000624"	"PR:000001408"	"1"	"1"	"6"	"40"	"27764254_6_40"
