"X."	"tissue_type"	"response_component_original"	"response_comp_orig_cnt"	"response_component"	"response_comp_cnt"	"cell_ontology_id"	"pro_ontology_id"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"adjuvant"	"route"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"short_comment"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"row_key"
""	"peripheral blood mononuclear cell"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	"2"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	"2"	"CL_0000904"	""	"cell type frequency"	"negative"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	"Fluzone"	"VO_0000047"	""	"predictive of d28 HAI"	"adults"	""	""	"23591775"	"2013"	"Fig 5"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f5/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"1"	"13"	"23591775_1_13"
""	"peripheral blood mononuclear cell"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell"	"4"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell"	"4"	"CL_0000904"	""	"cell type frequency"	"negative"	"good responders"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	"Fluzone"	"VO_0000047"	""	"predictive of d28 HAI"	"adults"	""	""	"23591775"	"2013"	"Suppl Fig 3"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/#S1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"2"	"14"	"23591775_2_14"
""	"peripheral blood mononuclear cell"	"naive thymus-derived CD8-positive, alpha-beta T cell"	"1"	"naive thymus-derived CD8-positive, alpha-beta T cell"	"1"	"CL_0000900"	""	"cell type frequency"	"positive"	"good responders"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	"Fluzone"	"VO_0000047"	""	"predictive of d28 HAI"	"adults"	""	""	"23591775"	"2013"	"Suppl Fig 3"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/#S1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"3"	"15"	"23591775_3_15"
""	"peripheral blood mononuclear cell"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	"2"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	"2"	"CL_0000904"	""	"cell type frequency"	"negative"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	"Fluzone"	"VO_0000047"	""	"predictive of d28 HAI"	"adults"	""	""	"23591775"	"2013"	"Fig 5"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f5/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"4"	"16"	"23591775_4_16"
""	"peripheral blood mononuclear cell"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell"	"4"	"central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell"	"4"	"CL_0000904"	""	"cell type frequency"	"negative"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	"Fluzone"	"VO_0000047"	""	"predictive of d28 HAI"	"adults"	""	""	"23591775"	"2013"	"Fig 7"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"5"	"17"	"23591775_5_17"
""	"peripheral blood mononuclear cell"	"naive thymus-derived CD8-positive, alpha-beta T cell"	"1"	"naive thymus-derived CD8-positive, alpha-beta T cell"	"1"	"CL_0000900"	""	"cell type frequency"	"positive"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	"Fluzone"	"VO_0000047"	""	"predictive of d28 HAI"	"adults"	""	""	"23591775"	"2013"	"Fig 7"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"6"	"18"	"23591775_6_18"
""	"blood"	"plasmablast"	"1"	"plasmablast"	"1"	"CL_0000980"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d vs 0d"	"adults (18-64)"	""	""	"23601689"	"2013"	"Fig 6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"adults, seniors"	"18"	"64"	"years"	"1"	"19"	"23601689_1_19"
""	"blood"	"plasmablast"	"1"	"plasmablast"	"1"	"CL_0000980"	""	"cell type frequency"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"10d vs 0d"	"adults (18-64)"	""	""	"23601689"	"2013"	"Fig 6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"adults, seniors"	"18"	"64"	"years"	"2"	"20"	"23601689_2_20"
""	"blood"	"plasmablast"	"1"	"plasmablast"	"1"	"CL_0000980"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2009"	"Fluzone"	"VO_0000047"	""	"7d vs 0d"	"adults (18-64)"	""	""	"23601689"	"2013"	"Fig 6B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"adults, seniors"	"18"	"64"	"years"	"3"	"21"	"23601689_3_21"
""	"peripheral blood mononuclear cell"	"CD56-bright natural killer (NK) cells"	"1"	"natural killer cell & CD56-bright"	"1"	"CL_0000623"	"PR:000001024"	"cell type frequency"	"positive"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"positively correlated with antibody response at 28d & onward. "	"adults (18-55)"	""	""	"28854372"	"2017"	"Fig 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/"	"adults"	"18"	"55"	"years"	"1"	"22"	"28854372_1_22"
""	"peripheral blood mononuclear cell"	"switched IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, IgG+); IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, CD10-, CD20+, IgG+)"	"2"	"IgG memory B cell & CD3-, CD19+, CD27+, HLADR+, IgG+; IgG memory B cell & CD3-, CD19+, CD27+, CD10-, CD20+, HLADR+, IgG+"	"2"	"CL_0000979"	"PR:000001020, PR_000001002, PR:000001963"	"cell type frequency"	"negative"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"positively correlated with antibody response at 28d & onward. "	"adults (18-55)"	""	""	"28854372"	"2017"	"Fig 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/"	"adults"	"18"	"55"	"years"	"2"	"23"	"28854372_2_23"
""	"peripheral blood mononuclear cell"	"CD86+ myeloid dendritic cells (mDCs); CCR7+ myeloid dendritic cells (mDCs); CD40/CD86+ monocytes; CD38+ CD56-dim natural killer (NK) cells"	"4"	"myeloid dendritic cell & CD86-positive; myeloid dendritic cell & CCR7+; monocyte & CD40, CD86; natural killer cell & CD38+, CD56-dim"	"4"	"CL_0000782"	"PR_000001412"	"cell type frequency"	"positive"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"1d vs 0d"	"adults (18-55)"	""	""	"28854372"	"2017"	"Fig 2A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig2/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/"	"adults"	"18"	"55"	"years"	"3"	"24"	"28854372_3_24"
""	"peripheral blood mononuclear cell"	"CD40/CD86+ plasma dendritic cells (pDCs); CD86+ myeloid dendritic cells (mDCs); CD86+ CD16+ inflammatory monocytes; CD40/CD86+ monocytes; CD16+ inflammatory monocytes; CD38+ CD56dim natural killer (NK) cells; NKG2D+ CD56dim natural killer (NK) cells; CD56bright natural killer (NK) cells"	"8"	"plasmacytoid dendritic cell & CD40+, CD86+; myeloid dendritic cell & CD86-positive; monocyte & CD86-positive, CD16-positive, inflammatory; monocyte & CD40, CD86; monocyte & CD16-positive, inflammatory; natural killer cell & CD38+, CD56-dim; natural killer cell & CD56-dim, NKG2D+; natural killer cell & CD56-bright"	"8"	"CL_0000784"	"PR_P29965, PR_000001412 "	"cell type frequency"	"positive"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"3d vs 0d"	"adults (18-55)"	""	""	"28854372"	"2017"	"Fig 2A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig2/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/"	"adults"	"18"	"55"	"years"	"4"	"25"	"28854372_4_25"
""	"peripheral blood mononuclear cell"	"interferon-gamma-positive T cells"	"1"	"T cell & IFNG+"	"1"	"CL_0000084"	"PR:000000017"	"cell type frequency"	"up"	"none"	"28"	"Days"	"time of vaccination (second dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Victoria/361/2011(H3N2)); influenza B virus (B/Wisconsin/01/2010)"	"2012"	"Imuvac"	"VO_0003144"	""	"28d (postboost) vs 0d (pre-imm)"	"children (14-26mo)"	""	""	"26755593"	"2016"	"Fig 2B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/"	"children"	"14"	"26"	"months"	"1"	"26"	"26755593_1_26"
""	"peripheral blood mononuclear cell"	"interferon-gamma-positive T cells"	"1"	"T cell & IFNG+"	"1"	"CL_0000084"	"PR:000000017"	"cell type frequency"	"up"	"none"	"28"	"Days"	"time of vaccination (second dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Victoria/361/2011(H3N2)); influenza B virus (B/Wisconsin/01/2010)"	"2012"	"Fluad"	"VO_0004281"	""	"28d (postboost) vs 0d (pre-imm)"	"children (14-26mo)"	""	""	"26755593"	"2016"	"Fig 2B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/"	"children"	"14"	"26"	"months"	"2"	"27"	"26755593_2_27"
""	"peripheral blood mononuclear cell"	"intereferon-gamma-positive, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell; intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"2"	"effector memory CD4-positive, alpha-beta T cell & TNF-a, IL-2+; effector memory CD4-positive, alpha-beta T cell & IFNG-, TNF-a+, IL-2+"	"2"	"CL_0000905"	"PR:000000134, PR:000001379"	"cell type frequency"	"up"	"none"	"28"	"Days"	"time of vaccination (second dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Victoria/361/2011(H3N2)); influenza B virus (B/Wisconsin/01/2010)"	"2012"	"Fluad"	"VO_0004281"	""	"28d (postboost) vs 0d (pre-imm)"	"children (14-27mo)"	""	""	"26755593"	"2016"	"Fig 2A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/"	"children"	"14"	"27"	"months"	"3"	"28"	"26755593_3_28"
""	"peripheral blood mononuclear cell"	"B cell; CD4+ alpha-beta T cell; CD16+ CD56dim natural killer cell; CD8+ alpha-beta T cell; granulocyte; lymphocyte"	"6"	"B cell; CD4-positive, alpha-beta T cell; CD16-positive, CD56-dim natural killer cell, human; CD8-positive, alpha-beta T cell; granulocyte; lymphocyte"	"6"	"CL_0000236"	""	"cell type frequency"	"down"	"none"	"1"	"Days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d vs 0d"	"adults (20-50)"	""	""	"23151505"	"2012"	"Fig. 1E"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/"	"adults"	"20"	"50"	"years"	"1"	"29"	"23151505_1_29"
""	"peripheral blood mononuclear cell"	"CD14+ CD16- classical monocyte"	"1"	"CD14-positive, CD16-negative classical monocyte"	"1"	"CL_0002057"	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d vs 0d"	"adults (20-50)"	""	""	"23151505"	"2012"	"Fig. 1E"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/"	"adults"	"20"	"50"	"years"	"2"	"30"	"23151505_2_30"
""	"peripheral blood mononuclear cell"	"CD14+ CD16- classical monocyte; CD16+ CD56-dim natural killer cell"	"2"	"CD14-positive, CD16-negative classical monocyte; CD16-positive, CD56-dim natural killer cell, human"	"2"	"CL_0002057"	""	"cell type frequency"	"up"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"3d vs 0d"	"adults (20-50)"	""	""	"23151505"	"2012"	"Fig. 1E"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/"	"adults"	"20"	"50"	"years"	"3"	"31"	"23151505_3_31"
""	"peripheral blood mononuclear cell"	"B cell"	"1"	"B cell"	"1"	"CL_0000236"	""	"cell type frequency"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"3d vs 0d"	"adults (20-50)"	""	""	"23151505"	"2012"	"Fig. 1E"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/"	"adults"	"20"	"50"	"years"	"4"	"32"	"23151505_4_32"
""	"peripheral blood mononuclear cell"	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	"1"	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	"1"	"CL_0000792"	""	"cell type frequency"	"up"	"low responders"	"7"	"Days"	"time of vaccination (first dose)"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"7d vs 0d"	"adult (18-55)"	""	""	"23844129"	"2013"	"Fig 2b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/figure/pone-0067922-g002/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"adults"	"18"	"55"	"years"	"1"	"33"	"23844129_1_33"
""	"peripheral blood mononuclear cell"	"plasma cell"	"1"	"plasma cell"	"1"	"CL_0000786"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	"VO_0001246; VO_0003138"	""	"correlated with MenC SBA at day 28"	"adults (30-70)"	""	""	"28137280"	"2017"	"Table 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5282650/table/Tab2/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28137280"	"adults, seniors"	"30"	"70"	"years"	"1"	"34"	"28137280_1_34"
""	"peripheral blood mononuclear cell"	"IFN-gamma+ antigen specific T cell"	"1"	"T cell & IFNG+"	"1"	"CL_0000084"	"PR:000000017"	"cell type frequency"	"up"	"none"	"8"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"8d vs 0d"	"seniors (50-75)"	""	""	"27764254"	"2016"	"Fig 1a, text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"adults, seniors"	"50"	"75"	"years"	"1"	"35"	"27764254_1_35"
""	"peripheral blood mononuclear cell"	"IFN-gamma+ antigen specific T cell"	"1"	"T cell & IFNG+"	"1"	"CL_0000084"	"PR:000000017"	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"14d vs 0d"	"seniors (50-75)"	""	""	"27764254"	"2016"	"Fig 1a, text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"adults, seniors"	"50"	"75"	"years"	"2"	"36"	"27764254_2_36"
""	"peripheral blood mononuclear cell"	"IFN-gamma+ antigen specific T cell"	"1"	"T cell & IFNG+"	"1"	"CL_0000084"	"PR:000000017"	"cell type frequency"	"up"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"28d vs 0d"	"seniors (50-75)"	""	""	"27764254"	"2016"	"Fig 1a, text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"adults, seniors"	"50"	"75"	"years"	"3"	"37"	"27764254_3_37"
""	"peripheral blood mononuclear cell"	"IFN-gamma+ antigen specific T cell"	"1"	"T cell & IFNG+"	"1"	"CL_0000084"	"PR:000000017"	"cell type frequency"	"down"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"28d vs 8d"	"seniors (50-75)"	""	""	"27764254"	"2016"	"Fig 1a, text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"adults, seniors"	"50"	"75"	"years"	"4"	"38"	"27764254_4_38"
""	"peripheral blood mononuclear cell"	"CD38+HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)"	"1"	"CD4-positive, alpha-beta T cell & CD38+, HLA-DR+, VZV tetramer+"	"1"	"CL_0000624"	"PR:000001408"	"cell type frequency"	"up"	"none"	"8"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"8d vs 0d"	"seniors (50-75)"	""	""	"27764254"	"2016"	"Fig 6b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g006/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"adults, seniors"	"50"	"75"	"years"	"5"	"39"	"27764254_5_39"
""	"peripheral blood mononuclear cell"	"CD38+ HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)"	"1"	"CD4-positive, alpha-beta T cell & CD38+, HLA-DR+, VZV tetramer+"	"1"	"CL_0000624"	"PR:000001408"	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"14d vs 0d"	"seniors (50-75)"	""	""	"27764254"	"2016"	"Fig 6b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g006/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/"	"adults, seniors"	"50"	"75"	"years"	"6"	"40"	"27764254_6_40"
""	"peripheral blood mononuclear cell"	"interferon-gamma+ CD4 T cells"	"1"	"CD4-positive, alpha-beta T cell & IFNG+"	"1"	"CL_0000624"	"PR:000000017"	"cell type frequency"	"up"	"none"	"29"	"Days"	"time of vaccination (first dose)"	"mycobacterium bovis BCG"	""	"VPM1002"	"VO_0003131"	""	"29d vs 0d"	"adults (18-55)"	""	""	"23290835"	"2013"	"Fig 3A"	"https://www.sciencedirect.com/science/article/pii/S0264410X12018403?via%3Dihub#fig0015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"adults"	"18"	"55"	"years"	"1"	"41"	"23290835_1_41"
