	submission_name	submission_date	second_spot_check	spot_check	template_name	tissue_type	tissue_type_term_id	response_component	response_behavior_type	response_behavior	subgroup	time_point	time_point_units	baseline_time	target_pathogen	target_pathogen_taxonid	vaccine_year	exposure_material_text	exposure_material	additional_exposure_material	Group1	addntl_time_point_units	Group0	comparison	number_subjects	cohort	adjuvant	route	scheduling	publication_reference	publication_year	signature_source	signature_source_url	comments	short_comment	process_note	publication_reference_url	age_group	age_min	age_max	age_units	extra_comments
			Amani: changed source, added subgroup	Daniel: re-curated		peripheral blood mononuclear cell	CL:2000001	central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell	cell type frequency	negatively predictive of	good responders	0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2008	Fluzone	VO_0000047					d28 HAI		adults				23591775	2013	Suppl Fig 3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/#S1				https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775	adults				
			Amani: changed source, added subgroup	Daniel: re-curated		peripheral blood mononuclear cell	CL:2000001	naive thymus-derived CD8-positive, alpha-beta T cell	cell type frequency	positively predictive of	good responders	0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2008	Fluzone	VO_0000047					d28 HAI		adults				23591775	2013	Suppl Fig 3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/#S1				https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775	adults				
				Daniel: re-curated		peripheral blood mononuclear cell	CL:2000001	central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell	cell type frequency	negatively predictive of		28	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2008	Fluzone	VO_0000047					d28 HAI		adults				23591775	2013	Fig 5	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f5/				https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775	adults				
				Daniel: re-curated		peripheral blood mononuclear cell	CL:2000001	central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell; CD8-positive, CD28-negative, alpha-beta regulatory T cell; natural killer cell	cell type frequency	negatively predictive of	none	28	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2008	Fluzone	VO_0000047					d28 HAI		adults				23591775	2013	Fig 7	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/				https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775	adults				
				Daniel: re-curated		peripheral blood mononuclear cell	CL:2000001	naive thymus-derived CD8-positive, alpha-beta T cell	cell type frequency	positively predictive of	none	28	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2008	Fluzone	VO_0000047					d28 HAI		adults				23591775	2013	Fig 7	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/				https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775	adults				
			daniel, removed 'b cell' agent'	Daniel: added source		blood	UBERON_0000178	plasmablast	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Streptococcus pneumoniae			Pneumovax 23	VO_0000088					7d vs 0d		adults (18-64)				23601689	2013	Fig 6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/				https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689	adults, seniors	18	64	years	
			daniel, removed 'b cell' agent'	Daniel: added source		blood	UBERON_0000178	plasmablast	cell type frequency	up for	none	10	Days	time of vaccination (first dose)	Streptococcus pneumoniae			Pneumovax 23	VO_0000088					10d vs 0d		adults (18-64)				23601689	2013	Fig 6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/				https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689	adults, seniors	18	64	years	
			daniel, removed 'b cell' agent'	Daniel: added source, edited comparison & response behavior		blood	UBERON_0000178	plasmablast	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2009	Fluzone	VO_0000047					7d vs 0d		adults (18-64)				23601689	2013	Fig 6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681204/figure/F6/				https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689	adults, seniors	18	64	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL_2000001	CD56-bright natural killer (NK) cells	cell type frequency	positively correlated with 	none	3	Days	time of vaccination (first dose)	Ebola virus			rVSV-EBOV	VO_0004660					antibody response at 28d and onward		adults (18-55)				28854372	2017	Fig 4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/	adults	18	55	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL_2000001	switched IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, IgG+); IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, CD10-, CD20+, IgG+)	cell type frequency	negatively correlated with 	none	3	Days	time of vaccination (first dose)	Ebola virus			rVSV-EBOV	VO_0004660					antibody response at 28d and onward		adults (18-55)				28854372	2017	Fig 4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/	adults	18	55	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL_2000001	CD86+ myeloid dendritic cells (mDCs); CCR7+ myeloid dendritic cells (mDCs); CD40/CD86+ monocytes; CD38+ CD56-dim natural killer (NK) cells	cell type frequency	up for	none	1	Day	time of vaccination (first dose)	Ebola virus			rVSV-EBOV	VO_0004660					1d vs 0d		adults (18-55)				28854372	2017	Fig 2A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig2/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/	adults	18	55	years	
			daniel, added CD40/CD86+ plasma dendritic cells (pDCs)  to this entry—it used to be on its own line with comparison d3-d1, but i think it's a d3-d0 comparison and the authors got lazy with drawing their bars	Amani: added source		peripheral blood mononuclear cell	CL_2000001	CD40/CD86+ plasma dendritic cells (pDCs); CD86+ myeloid dendritic cells (mDCs); CD86+ CD16+ inflammatory monocytes; CD40/CD86+ monocytes; CD16+ inflammatory monocytes; CD38+ CD56dim natural killer (NK) cells; NKG2D+ CD56dim natural killer (NK) cells; CD56bright natural killer (NK) cells	cell type frequency	up for	none	3	Days	time of vaccination (first dose)	Ebola virus			rVSV-EBOV	VO_0004660					3d vs 0d		adults (18-55)				28854372	2017	Fig 2A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/figure/fig2/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5583508/	adults	18	55	years	
			daniel, split two vaccines into two rows	Amani: added source		peripheral blood mononuclear cell	CL:2000001	interferon-gamma-positive T cells	cell type frequency	up for	none	28	Days	time of vaccination (second dose)	Influenza A virus; Influenza B virus		2012	Imuvac	VO_0003144					28d (postboost) vs 0d (pre-imm)		children (14-26mo)				26755593	2016	Fig 2B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/	children	14	26	months	
			daniel, split from previous row	Amani: added source		peripheral blood mononuclear cell	CL:2000001	interferon-gamma-positive T cells	cell type frequency	up for	none	28	Days	time of vaccination (second dose)	Influenza A virus; Influenza B virus		2012	Fluad	VO_0004281					28d (postboost) vs 0d (pre-imm)		children (14-26mo)				26755593	2016	Fig 2B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/	children	14	26	months	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	intereferon-gamma-positive, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell; intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell	cell type frequency	up for	none	28	Days	time of vaccination (second dose)	Influenza A virus; Influenza B virus		2012	Fluad	VO_0004281					28d (postboost) vs 0d (pre-imm)		children (14-27mo)				26755593	2016	Fig 2A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig02/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/	children	14	27	months	
				Daniel:added source, edited direction, moved agents to new line; removed 'granulocyte' and 'lymphocyte' from response agents (no source)		peripheral blood mononuclear cell	CL:2000001	B cell;  CD4+ alpha-beta T cell; CD16+ CD56dim natural killer cell; CD8+ alpha-beta T cell; granulocyte; lymphocyte	cell type frequency	down for	none	1	Days	time of vaccination (first dose)	Human immunodeficiency virus 1 			MRKAd5/HIV	VO_0003133					1d vs 0d		adults (20-50)				23151505	2012	Fig. 1E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/	adults	20	50	years	
				Daniel: from previous line, edited direction		peripheral blood mononuclear cell	CL:2000001	CD14+ CD16- classical monocyte	cell type frequency	up for	none	1	Days	time of vaccination (first dose)	Human immunodeficiency virus 1 			MRKAd5/HIV	VO_0003133					1d vs 0d		adults (20-50)				23151505	2012	Fig. 1E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/	adults	20	50	years	
				Daniel:added source, edited direction, moved agents to new line, removed granulocytes (no source)		peripheral blood mononuclear cell	CL:2000001	CD14+ CD16- classical monocyte; CD16+ CD56-dim natural killer cell	cell type frequency	up for	none	3	Days	time of vaccination (first dose)	Human immunodeficiency virus 1 			MRKAd5/HIV	VO_0003133					3d vs 0d		adults (20-50)				23151505	2012	Fig. 1E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/	adults	20	50	years	
				Daniel: from previous line, edited direction		peripheral blood mononuclear cell	CL:2000001	B cell	cell type frequency	down for	none	3	Days	time of vaccination (first dose)	Human immunodeficiency virus 1 			MRKAd5/HIV	VO_0003133					3d vs 0d		adults (20-50)				23151505	2012	Fig. 1E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/figure/fig01/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3528489/	adults	20	50	years	
				Daniel: added source		peripheral blood mononuclear cell	CL:2000001	CD4-positive, CD25-positive, alpha-beta regulatory T cell	cell type frequency	up for	low responders	7	Days	time of vaccination (first dose)	Mycobacterium tuberculosis variant bovis BCG			Modified Vaccinia Ankara (MVA) virus vaccine vector	VO_0003120					7d vs 0d		adult (18-55)				23844129	2013	Fig 2b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/figure/pone-0067922-g002/				https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129	adults	18	55	years	
				Daniel: added source, adjusted time point		peripheral blood mononuclear cell	CL:2000001	plasma cell	cell type frequency	positively correlated with 	none	7	Days	time of vaccination (first dose)	Neisseria meningitidis			Menveo; ACWYVax	VO_0001246; VO_0003138					MenC SBA at day 28		adults (30-70)				28137280	2017	Table 2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5282650/table/Tab2/				https://www.ncbi.nlm.nih.gov/pubmed/?term=28137280	adults, seniors	30	70	years	
			daniel: edited response component	Amani: added source		peripheral blood mononuclear cell	CL:2000001	IFN-gamma+ antigen specific T cell	cell type frequency	up for	none	8	Days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					8d vs 0d		seniors (50-75)				27764254	2016	Fig 1a, text	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/	adults, seniors	50	75	years	
			daniel: edited response component	Amani: added source		peripheral blood mononuclear cell	CL:2000001	IFN-gamma+ antigen specific T cell	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					14d vs 0d		seniors (50-75)				27764254	2016	Fig 1a, text	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/	adults, seniors	50	75	years	
			daniel: edited response component	Amani: added source		peripheral blood mononuclear cell	CL:2000001	IFN-gamma+ antigen specific T cell	cell type frequency	up for	none	28	Days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					28d vs 0d		seniors (50-75)				27764254	2016	Fig 1a, text	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/	adults, seniors	50	75	years	
			daniel: edited response component	Amani: added source		peripheral blood mononuclear cell	CL:2000001	IFN-gamma+ antigen specific T cell	cell type frequency	down for	none	28	Days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					28d vs 8d		seniors (50-75)				27764254	2016	Fig 1a, text	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g001/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/	adults, seniors	50	75	years	
			daniel: edited source	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD38+HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)	cell type frequency	up for	none	8	Days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					8d vs 0d		seniors (50-75)				27764254	2016	Fig 6b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g006/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/	adults, seniors	50	75	years	
			daniel: edited source	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD38+ HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Human alphaherpesvirus 3	10335		Zostavax	VO_0000124					14d vs 0d		seniors (50-75)				27764254	2016	Fig 6b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/figure/ppat.1005892.g006/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5072604/	adults, seniors	50	75	years	
				Daniel: added source; also removed a signature that was identical to this one but for d57-d0 (couldn't find source)		peripheral blood mononuclear cell	CL:2000001	interferon-gamma+ CD4 T cells	cell type frequency	up for	none	29	Days	time of vaccination (first dose)	Mycobacterium tuberculosis variant bovis BCG			VPM1002	VO_0003131					29d vs 0d		adults (18-55)				23290835	2013	Fig 3A	https://www.sciencedirect.com/science/article/pii/S0264410X12018403?via%3Dihub#fig0015				https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835	adults	18	55	years	
				Daniel: added source		peripheral blood mononuclear cell	CL:2000001	triple-positive (interferon-gamma, tumor necrosis factor-alpha, interleukin-2) CD4 T cells	cell type frequency	up for	none	29	Days	time of vaccination (first dose)	Mycobacterium tuberculosis variant bovis BCG			BCG vaccine; VPM1002	VO_0000771; VO_0003131					VPM1002-3 vs BCG vaccine		adults (18-55)				23290835	2013	Fig 3B	https://www.sciencedirect.com/science/article/pii/S0264410X12018403?via%3Dihub#fig0015				https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835	adults	18	55	years	
				Daniel: added source		blood	UBERON_0000178	CD8+ interleukin-17+ (IL-17+) cells	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Mycobacterium tuberculosis variant bovis BCG			BCG vaccine; VPM1002	VO_0000771; VO_0003131					14d vs 0d		infants				27974398	2017	Fig 4B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5299117/figure/F4/				https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398	infants				
				Daniel: added source		blood	UBERON_0000178	CD8+ interleukin-17+ (IL-17+) cells	cell type frequency	up for	none	6	Months	time of vaccination (first dose)	Mycobacterium tuberculosis variant bovis BCG			BCG vaccine; VPM1002	VO_0000771; VO_0003131					6m vs 0m		infants				27974398	2017	Fig 4B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5299117/figure/F4/				https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398	infants				
				Daniel: added source, removed red blood cells as agent bc authors specify only the other cell types as significant 		peripheral blood mononuclear cell	CL:2000001	white blood cell; neutrophil; lymphocyte; eosinophil	cell type frequency	down for	none	7	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-VAX	VO_0000121					7d vs 0d		adults (18-40)				17651872	2007	Text: Study Summaries and Clinical Observations					https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872	adults	18	40	years	
				Daniel: re-curated		blood	UBERON_0000178	switched IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, IgG+); IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, CD10-, CD20+, IgG+)	cell type frequency	positively predictive of	none	0	Days	time of vaccination (first dose)	Hepatitis B virus			Twinrix	VO_0000113					anti-HBsAg ab titre		seniors (65-83)				26742691	2016	Fig 5b; Table 1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/table/t1/	EM131 elderly cohort (65-83)			https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691	seniors	65	83	years	
				Daniel: re-curated		blood	UBERON_0000178	TEM2+ CD4+ T Cell; CD40+ pDC	cell type frequency	positively correlated with 	none	0	Days	time of vaccination (first dose)	Hepatitis B virus			Twinrix	VO_0000113					anti-HBsAg ab titre		seniors (65-83)				26742691	2016	Fig 5a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/figure/f5	EM131 elderly cohort (65-83)			https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691	seniors	65	83	years	
				Daniel: added source		peripheral blood mononuclear cell	CL:2000001	memory B cell	cell type frequency	up for	none	28	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Fluarix	VO_0000045					28d vs 0d		adults(50-74)				27317456	2016	Text: Subjects Demographics and Memory B cell ELISPOT response					https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456	adults, seniors	50	74	years	
			daniel: edited source	Amani: added source		peripheral blood mononuclear cell	CL:2000001	IgG+ Antibody secreting cells	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2009, pan	Fluvirin; Pandemrix	VO_0000046; VO_0000410					7d vs 0d		adults				24725414	2014	Fig 3a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/	adults				
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD40+ monocytes; CD38+ of CD8+ T cells; CD86+ monocytes; CD86+ of naive B cells; CD69+ of CD8+ T cells; CD25+ of CD8+ Tcells; CD38+ of IgD+CD27+ memory B cells; IL2+ of CD4+ T cells; HLA-DR+ of CD4+ T cells; CD103+ of CD4+ T cells; CD14+ of viable CD45+ cells (Total monocytes); CD80+ of IgD-CD27+ memory B cells; CD103+ of CD8+ T cells; IFNa+ of pDCs; HLA-DR+ of CD8+ T cells; IL4+ of CD4+ T cells	cell type frequency	up for	none	1	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2009, pan	Fluvirin; Pandemrix	VO_0000046; VO_0000410					1d vs 0d		adults				24725414	2014	Fig 3d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/	adults				
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD21+ plasmablast; IgA+ of IgD-CD27+ memory B cells	cell type frequency	down for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2009, pan	Fluvirin; Pandemrix	VO_0000046; VO_0000410					7d vs 0d		adults				24725414	2014	Fig 3d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/	adults				
			daniel: edited response components... not sure where the original list: "CD86+ myeloid dendritic cells (mDCs); CCR7+ myeloid dendritic cells (mDCs); CD40/CD86+ monocytes; CD38+ CD56dim natural killer (NK) cells" came from	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD27hi CD38hi of CD20- B cells (plasmablasts); CD38+ of IgD-CD27+ memory B cells; CD86+ of CD20+ B cells; CD38+ of CD4+ T cells; CD86+ of Naive B Cells; IL4+ of CD4+ T cells; CD39+ of CD8+ T cells; CD86+ of IgD-CD27- memory B cells	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2009, pan	Fluvirin; Pandemrix	VO_0000046; VO_0000410					7d vs 0d		adults				24725414	2014	Fig 3d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/	adults				
			daniel: edited comparison, titers are measured at baseline, removed subgroup (high vs low comparison)	Amani: added source		peripheral blood mononuclear cell	CL:2000001	plasmablast	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2009, pan	Fluvirin; Pandemrix	VO_0000046; VO_0000410					low baseline titer group vs high baseline titer group		adults				24725414	2014	Fig 4c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/	adults				
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	IL22+ of CD161- CD4+ T cells; IL2+ of CD4+ T cells; CD38+ of transitional B cells; CD38+ of CD20+IgD-CD27+ B cells; CD38+ of IgD+CD27+ memory B cells; CD38+ of Naive B cells	cell type frequency	positively predictive of	none	0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2009, pan	Fluvirin; Pandemrix	VO_0000046; VO_0000410					d28 HAI		adults				24725414	2014	Fig 6c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F6/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/	adults				
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	CD27+CCR7- of memory CD4+ T cells;	cell type frequency	negatively predictive of	none	0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2009, pan	Fluvirin; Pandemrix	VO_0000046; VO_0000410					d28 HAI		adults				24725414	2014	Fig 6c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F6/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/	adults				
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	influenza-specific IgG secreting plasmablasts	cell type frequency	positively correlated with 	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2007, 2008, 2009	Fluarix; Fluvirin	VO_0000045; VO_0000046					HAI response at 28 days		young adults (18-50yrs)				21743478	2011	Fig 1e	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/	adults	18	50	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	influenza-specific IgM secreting plasmablasts	cell type frequency	positively correlated with 	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2007, 2008, 2009	Fluarix; Fluvirin	VO_0000045; VO_0000046					HAI response at 28 days		young adults (18-50yrs)				21743478	2011	Supp Fig 1b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/#SD1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/	adults	18	50	years	
