	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	B cell (CD45+, CD19+, CD3-); NK cell (CD45+, CD19-, CD56+, CD3-); NK T cell (CD45+, CD19-, CD56+, CD3+); TCRgammadelta+ T cell (CD45+, CD3+, TCRgammadelta+); Vgamma9- T cell (CD45+, CD3+, TCRgammadelta+, Vgamma9-); Vgamma9+ T cell (CD45+, CD3+, TCRgammadelta+, Vgamma9+); CD8 T cell (CD45+, CD19-, CD56-, CD3+, CD8+); CD4 Tcell (CD45+, CD19-, CD3+, CD4+); T reg cell (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)	N	cell-type frequency	down	severe disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 1	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr1.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	B cell (CD45+, CD19+, CD3-); T reg cell (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)	N	cell-type frequency	down	mild disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig.1	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr1.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	conventional CD4 effector/effector memory T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-)	N	cell-type frequency	down	severe disease vs healthy control; mild disease vs healthy control; severe disease vs mild disease	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2A, Supp Fig. 3A	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	conventional CD4 terminally differentiated T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)	N	cell-type frequency	up	severe disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2A, Supp Fig. 3A	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	conventional CD4 terminally differentiated T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-); conventional CD4 T central memory cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)	N	cell-type frequency	up	mild disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2A, Supp Fig. 3A	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	CD8 naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+); CD8 effector/effector memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L-)	N	cell-type frequency	up	severe disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2B, Supp Fig. 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	CD8 terminally differentiated T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L-); CD8 central memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L+)	N	cell-type frequency	down	severe disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2B, Supp Fig. 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	CD8 effector/effector memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L-)	N	cell-type frequency	up	mild disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2B, Supp Fig. 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	CD8 naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)	N	cell-type frequency	down	mild disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2B, Supp Fig. 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	CD8 naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)	N	cell-type frequency	up	severe disease vs mild disease	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2B, Supp Fig. 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	CD8 effector/effector memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L-)	N	cell-type frequency	down	severe disease vs mild disease	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 2B, Supp Fig. 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr2.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	TCRgammadelta naive T cell (CD3+, TCRgammadelta+, CD45RA+, CD62L+)	N	cell-type frequency	up	mild disease vs healthy control; severe disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Figs. 3A, 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr3.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	TCRgammadelta effector/effector memory T cell (CD3+, TCRgammadelta+, CD45RA-, CD62L-); TCRgammadelta central memory T cell (CD3+, CD3+, TCRgammadelta+, CD45RA-, CD62L+); TCRgammadelta terminally differentiated T cell (CD3+, CD3+, TCRgammadelta+, CD45RA+, CD62L-)	N	cell-type frequency	down	severe disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Figs. 3A, 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr3.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	TCRgammadelta effector/effector memory T cell (CD3+, TCRgammadelta+, CD45RA-, CD62L-)	N	cell-type frequency	down	mild disease vs healthy control	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Figs. 3A, 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr3.jpg		
	2021-08-03	Germany	19	91	years	90	blood	UBERON:0000178 (blood)	flow cytometry	TCRgammadelta central memory T cell (CD3+, CD3+, TCRgammadelta+, CD45RA-, CD62L+)	N	cell-type frequency	down	severe disease vs mild disease	onset of symptoms	first measure at 2 to 32	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 3B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr3.jpg		
	2021-08-03	Germany	19	85	years	7	blood	UBERON:0000178 (blood)	flow cytometry	conventional CD4 naive T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)	N	cell-type frequency	down	convalescing vs pooled mild or severe disease	onset of symptoms	convalescence at 7 to 38	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 4A	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr4.jpg		Table 1 shows the day post symptom onset that the first sample (covid-19) and convalescing sample were collected. These timepoipnts were then compared in Figure 4. I included these dates in the baseline time event and timepoint columns (Q,R) for each of the 7 subjects, but was unsure if this was r formatted correctly as these sampling dates were not consistent across subjects. For reference (the 7 subjects can be found in Table 1: ID: 013, 027, 004, 006, 009, 017, 025)
	2021-08-03	Germany	19	85	years	7	blood	UBERON:0000178 (blood)	flow cytometry	conventional CD4 effector/effector memory T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-); conventional CD4 T central memory cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)	N	cell-type frequency	up	convalescing vs pooled mild or severe disease	onset of symptoms	convalescence at 7 to 38	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 4A	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr4.jpg		See comment above
	2021-08-03	Germany	19	85	years	7	blood	UBERON:0000178 (blood)	flow cytometry	CD8 naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)	N	cell-type frequency	down	convalescing vs pooled mild or severe disease	onset of symptoms	convalescence at 7 to 38	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 4B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr4.jpg		See comment above
	2021-08-03	Germany	19	85	years	7	blood	UBERON:0000178 (blood)	flow cytometry	CD8 effector/effector memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L-); CD8 central memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L+)	N	cell-type frequency	up	convalescing vs pooled mild or severe disease	onset of symptoms	convalescence at 7 to 38	days	Severe acute respiratory syndrome coronavirus 2	ncbi_taxid:2697049 (Severe acute respiratory syndrome coronavirus 2)	occurrence of infectious disease	COVID-19	mild, severe	pmid:32650275	2020-07-07	https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub	Fig. 4B	https://ars.els-cdn.com/content/image/1-s2.0-S2352396420302607-gr4.jpg		See comment above
