original_annotation	CL_term	CL_ID	PRO_term_w_intensity	PRO_ID	extra	comments																				
HLA-DR+ CD4+ T-cells	"CD4-positive, alpha-beta T cell"	CL:0000624			HLA-DR+																					
VZV antigen-reactive CD4 T cells	"CD4-positive, alpha-beta T cell"	CL:0000624			VZV antigen-reactive																					
CD4+ T cells	"CD4-positive, alpha-beta T cell"	CL:0000624																								
CD4+ alpha-beta T cell	"CD4-positive, alpha-beta T cell"	CL:0000624																								
T cells CD4+	"CD4-positive, alpha-beta T cell"	CL:0000624																								
CD25high CD4+ T-cells	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	CL:0000792	CD25-hi	PR:000001380																						
"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	CL:0000792																								
CD25+ CD4+ T-cells	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	CL:0000792																								
cytotoxic T lymphocytes VZV-specific CD8+ IFNg+ CD107a+	"CD8-positive, alpha-beta cytotoxic T cell"	CL:0000794	"CD107a+, IFNg+"	"PR:000002060, PR:000000017"	VZV-specific																					
CCR3+ CD8+ T-cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CCR3+	PR:000001255																						
CD103+ of CD8+ T cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CD103+	PR:000001010																						
T cells CD3+/CD8+/CD28+	"CD8-positive, alpha-beta T cell"	CL:0000625	"CD3+, CD28+"	"PR:000001020, PR:000001841"																						
T cells CD3+/CD8+/Ki67+	"CD8-positive, alpha-beta T cell"	CL:0000625	"CD3+, pKI-67+"	"PR:000001020, PR:000029630"																						
CD38+ of CD8+ T cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CD38+	PR:000001408																						
CD38+ CD8+ T-cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CD38+	PR:000001408																						
CD39+ of CD8+ T cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CD39+	PR:000001854																						
CD54+ CD8+ T-cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CD54+	PR:000001467																						
VZV-specific CD8+ CD69+ CD57+ cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CD69+	PR:000001343	"VZV-specific, CD57+"																					
CD69+ of CD8+ T cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CD69+	PR:000001343																						
CD69+ CD8+ T-cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CD69+	PR:000001343																						
VZV-specific CD8+ CD69+ PD1+ cells	"CD8-positive, alpha-beta T cell"	CL:0000625	"CD69+, PD-1+"	"PR:000001343, PR:000001919"	VZV-specific																					
CXCR4+ CD8+ T-cells	"CD8-positive, alpha-beta T cell"	CL:0000625	CXCR4+	PR:000001208																						
TIV-specific CD8+ GRZ+ T lymphocyte cells	"CD8-positive, alpha-beta T cell"	CL:0000625	GZMB+	PR:000003499	TIV-specific																					
T cell responder TIV-specific CD8+ GRZ+	"CD8-positive, alpha-beta T cell"	CL:0000625	GZMB+	PR:000003499	TIV-specific																					
CXCR3+ CD8+ IFN-gamma producing T-cells	"CD8-positive, alpha-beta T cell"	CL:0000625	IFNG+	PR:000000017	CXCR3+																					
CD8+ interleukin-17+ (IL-17+) cells	"CD8-positive, alpha-beta T cell"	CL:0000625	IL17A+	PR:000001138																						
T cells CD8+ Ki67+	"CD8-positive, alpha-beta T cell"	CL:0000625	pKI-67+	PR:000029630																						
CXCR3+ CD8+ T-cells	"CD8-positive, alpha-beta T cell"	CL:0000625			CXCR3+																					
T cells Dual-function VZV-specific CD8+	"CD8-positive, alpha-beta T cell"	CL:0000625			"dual-function, VZV-specific"																					
HLA-DR+ of CD8+ T cells	"CD8-positive, alpha-beta T cell"	CL:0000625			HLA-DR+																					
HLA-DR+ CD8+ T-cells	"CD8-positive, alpha-beta T cell"	CL:0000625			HLA-DR+																					
CD8+ T cells	"CD8-positive, alpha-beta T cell"	CL:0000625																								
CD8+ alpha-beta T cell	"CD8-positive, alpha-beta T cell"	CL:0000625																								
T cells CD8+	"CD8-positive, alpha-beta T cell"	CL:0000625																								
CD25+ of CD8+ Tcells	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	CL:0000919																								
CD25+ CD8+ T-cells	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	CL:0000919																								
"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	CL:0000920																								
CD8+ CXCR3+ alpha-beta regulatory T cell	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	CL:0001041																								
CD45RO+ CCR7+ central memory CD4 cells	"central memory CD4-positive, alpha-beta T cell"	CL:0000904	"CD45RO+, CCR7+"	"PR:000001017, PR:000001203"																						
"central memory CD4-positive, alpha-beta T cell"	"central memory CD4-positive, alpha-beta T cell"	CL:0000904																								
CD45RO+ CCR7+ central memory CD8 cells	"central memory CD8-positive, alpha-beta T cell"	CL:0000907	"CD45RO+, CCR7+"	"PR:000001017, PR:000001203"		"human-specific CD45RO is PR_P08575-4 , human specific CCR7 is PR_P32248 "																				
DC HLA-DR+CD11c+	dendritic cell	CL:0000451	CD11c+	PR:000001013	HLA-DR+	"Only in comments in CL; Ricardo says sufficient for myeloid, note the minus in the name"																				
CD11c-positive DC	dendritic cell	CL:0000451	CD11c+	PR:000001013		Only in comments in CL; Ricardo says sufficient for myeloid																				
DC (NK-/CD123)	dendritic cell	CL:0000451	CD123+	PR:000001865	NK-																					
IFNa+ of pDCs	dendritic cell	CL:0000451	interferon alpha+	PR:000024938																						
dendritic cell	dendritic cell	CL:0000451																								
"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	CL:0000905	"IFNG-, TNF-a+, IL-2+"	"PR:000000017, PR:000000134, PR:000001379"																						
"intereferon-gamma-positive, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	CL:0000905	"TNF-a, IL-2+"	"PR:000000134, PR:000001379"																						
"effector memory CD8-positive, alpha-beta T cell"	"effector memory CD8-positive, alpha-beta T cell"	CL:0000913																								
eosinophil	eosinophil	CL:0000771																								
CD69+ gamma-delta T-cell	gamma-delta T cell	CL:0000798	CD69+	PR:000001343																						
gamma-delta cells	gamma-delta T cell	CL:0000798																								
granulocyte	granulocyte	CL:0000094																								
IgA+ of IgD-CD27+ memory B cells	IgA memory B cell	CL:0000973	CD27+	PR:000001963	IgD-																					
influenza-specific IgA secreting plasmablasts	IgA plasmablast	CL:0000984			influenza-specific																					
"memory B cells (CD19+, IgD-, CD27+) (CL_0001053)"	IgD-negative memory B cell	CL:0001053	"CD19+, CD27+"	"PR:000001002, PR:000001963"																						
CD38+ of IgD-CD27+ memory B cells	IgD-negative memory B cell	CL:0001053	"CD27+, CD38+"	"PR:000001963,PR:000001408"																						
CD80+ of IgD-CD27+ memory B cells	IgD-negative memory B cell	CL:0001053	"CD80+, CD27+"	"PR:000001438, PR:000001963"																						
CD86+ of IgD-CD27- memory B cells	IgD-negative memory B cell	CL:0001053	"CD86+, CD27-"	"PR:000001412, PR:000001963"																						
"switched IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, IgG+)"	IgG memory B cell	CL:0000979	"CD3-, CD19+, CD27+"	"PR:000001020, PR:000001002, PR:000001963"	"HLADR+, IgG+"																					
"IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, CD10-, CD20+, IgG+)"	IgG memory B cell	CL:0000979	"CD3-, CD19+, CD27+, CD10-, CD20+"	"PR:000001020, PR:000001002, PR:000001963, PR:000001898, PR:000001289"	"HLADR+, IgG+"																					
influenza-specific IgG secreting plasmablasts	IgG plasmablast	CL:0000982			influenza-specific																					
IgG+ Antibody secreting cells	IgG plasmablast	CL:0000982				Paper is not totally clear if these are plasmablast or B cell or both (both is maybe most likely). Figure 3A does indicate y-axis is per 10^6 B cells.																				
B cells CD3-/CD19+CD20+/IgD-IgM+/CD27+	IgM memory B cell	CL:0000971	"CD3-, CD19+, CD20+, CD27+"	"PR:000001020, PR:000001002, PR:000001289, PR:000001963"																						
influenza-specific IgM secreting plasmablasts	IgM plasmablast	CL:0000983			influenza-specific																					
white blood cell	leukocyte	CL:0000738																								
lymphocyte	lymphocyte	CL:0000542																								
CD38+ of IgD+CD27+ memory B cells	memory B cell	CL:0000787	"CD27+, CD38+"	"PR:000001963,PR:000001408"	IgD+																					
memory B cell	memory B cell	CL:0000787																								
CD16+ inflammatory monocytes	monocyte	CL:0000576	CD16-positive	PR:000001483	inflammatory																					
CD40/CD86+ monocytes	monocyte	CL:0000576	"CD40, CD86"	"PR:P29965, PR:000001412 "																						
CD40+ monocytes	monocyte	CL:0000576	CD40+	PR:000001961																						
CD86+ monocytes	monocyte	CL:0000576	CD86+	PR:000001412																						
CD86+ monocyte	monocyte	CL:0000576	CD86+	PR:000001412																						
CD86+ CD16+ inflammatory monocyte	monocyte	CL:0000576	"CD86-positive, CD16-positive"	"PR:000001412, PR:000001483"	inflammatory																					
CD86+ CD16+ inflammatory monocytes	monocyte	CL:0000576	"CD86-positive, CD16-positive"	"PR:000001412, PR:000001483"	inflammatory																					
monocyte	monocyte	CL:0000576																								
monocytes	monocyte	CL:0000576																								
CCR7+ myeloid dendritic cells (mDCs)	myeloid dendritic cell	CL:0000782	CCR7+	PR:000001203 																						
CD86+ myeloid dendritic cells (mDCs)	myeloid dendritic cell	CL:0000782	CD86-positive 	PR:000001412																						
CD86+ myeloid dendritic cell (DC)	myeloid dendritic cell	CL:0000782	CD86-positive 	PR:000001412																						
"naive B cells (CD19-positive, IgD-negative, CD27-negative) (CL_0000788)"	naive B cell	CL:0000788	"CD19+, CD27-"	"PR:000001002, PR:000001963"	IgD-																					
CD38+ of Naive B cells	naive B cell	CL:0000788	CD38+	PR:000001408																						
CD86+ of naive B cells	naive B cell	CL:0000788	CD86+	PR:000001412																						
CD86+ of Naive B Cells	naive B cell	CL:0000788	CD86+	PR:000001412																						
"naive thymus-derived CD8-positive, alpha-beta T cell"	"naive thymus-derived CD8-positive, alpha-beta T cell"	CL:0000900																								
NK cells NK/CD107a+/K562	natural killer cell	CL:0000623	CD107a+	PR:000002060	K562 cells																					
NK Cells (CD14-/CD19-/CD3-/NK/CD107A+/K562)	natural killer cell	CL:0000623	"CD14-, CD19-, CD3-, CD107a+"	"PR:000001889, PR:000001002, PR:000001020, PR:000002060"	K562 cells																					
NK Cells (CD14-/CD19-/CD3-/NK/IFNg+/K562)	natural killer cell	CL:0000623	"CD14-, CD19-, CD3-, IFNG+"	"PR:000001889, PR:000001002, PR:000001020,PR:000000017"	K562 cells																					
NK Cells (CD14-/CD19-/CD3-/NK/TNFa+/K562)	natural killer cell	CL:0000623	"CD14-, CD19-, CD3-, TNF-a+"	"PR:000001889, PR:000001002, PR:000001020, PR:000000134"	K562 cells																					
NK cells (CD14-/CD20-/CD3-/NK)	natural killer cell	CL:0000623	"CD14-, CD20-, CD3-"	"PR:000001889, PR:000001289, PR:000001020"																						
NK cells (CD14-/CD20-/CD3-/NK/NKP46+)	natural killer cell	CL:0000623	"CD14-, CD20-, CD3-, NKG2-A/B-activating NK receptor+"	"PR:000001889, PR:000001289, PR:000001020, PR:000002023"																						
CD16+ CD56+ CD3+ Natural Killer cells	natural killer cell	CL:0000623	"CD16+, CD56+, CD3+"	"PR:000001483, PR:000001024, PR:000001020 "																						
CD3- CD56dim Natural Killer cells	natural killer cell	CL:0000623	"CD3-, CD56-dim"	"PR:000001020, PR:000001024"																						
CD38+ CD56-dim natural killer (NK) cells	natural killer cell	CL:0000623	"CD38+, CD56-dim"	"PR:000001408, PR:000001024"																						
CD38+ CD56dim natural killer (NK) cells	natural killer cell	CL:0000623	"CD38+, CD56-dim"	"PR:000001408, PR:000001024"																						
CD16+ CD56+ CD3- Natural Killer cells	natural killer cell	CL:0000623	"CD56+, CD16+"	"PR:000001024, PR:000001483"																						
CD56++ NK cells	natural killer cell	CL:0000623	CD56++	PR:000001024																						
CD56++ CD16+ natural killer (NK) cells	natural killer cell	CL:0000623	"CD56++, CD16+"	"PR:000001024, PR:000001483"																						
CD56++ CD16+ Natural Killer cells	natural killer cell	CL:0000623	"CD56++, CD16+"	"PR:000001024, PR:000001483"																						
CD56++ CD16+ NK cells	natural killer cell	CL:0000623	"CD56++, CD16+"	"PR:000001024, PR:000001483"																						
CD56-bright natural killer (NK) cells	natural killer cell	CL:0000623	CD56-bright	PR:000001024																						
CD56++ natural killer cells	natural killer cell	CL:0000623	CD56-bright	PR:000001024																						
CD56bright natural killer (NK) cells	natural killer cell	CL:0000623	CD56-bright	PR:000001024																						
NKG2D+ CD56dim natural killer (NK) cells	natural killer cell	CL:0000623	CD56-dim	PR:000001024 	NKG2D+	human CD56 is PR_P13591; no code for generic NKG2D																				
CD69+ natural killer (NK) cell	natural killer cell	CL:0000623	CD69+	PR:000001343																						
NK cells NK/TNFa+/K562	natural killer cell	CL:0000623	TNF-a+	PR:000000134	K562 cells																					
Natural Killer cells	natural killer cell	CL:0000623																								
natural killer cell	natural killer cell	CL:0000623																								
NK cell	natural killer cell	CL:0000623																								
neutrophil	neutrophil	CL:0000775																								
NK cells (CD14-/CD20-/CD3-/NK/NKG2A+)	natural killer cell	CL:0000623	"CD14-, CD20-, CD3-"	"PR:000001889, PR:000001289, PR:000001020"	NKGA2+																					
plasma cell	plasma cell	CL:0000786																								
plasma cells	plasma cell	CL:0000786																								
"plasmablasts (CD19+, CD27+, CD38+)"	plasmablast	CL:0000980	"CD19+, CD27+, CD38+"	"PR:000001002, PR:000001963, PR:000001408"																						
CD21+ plasmablast	plasmablast	CL:0000980	CD21+	PR:000001338																						
CD27+ CD38hi plasmablasts	plasmablast	CL:0000980	"CD27+, CD38-hi"	"PR:000001963, PR:000001408"																						
CD27hi CD38hi of CD20- B cells (plasmablasts)	plasmablast	CL:0000980	"CD27-hi, CD38-hi, CD20-"	"PR:000001963, PR:000001408, PR:000001289"																						
plasmablast	plasmablast	CL:0000980																								
CD40+ pDC	plasmacytoid dendritic cell	CL:0000784	CD40+			"there is a human-specific pDC, but its definition includes markers not noted in this tag"																				
CD40/CD86+ plasma dendritic cells (pDCs)	plasmacytoid dendritic cell	CL:0000784	"CD40+, CD86+"	"PR:P29965, PR:000001412 "																						
CD86+ plasmacytoid dendritic cell (pDC)	plasmacytoid dendritic cell	CL:0000784	CD86+	PR:000001412 																						
plasmacytoid dendritic cell	plasmacytoid dendritic cell	CL:0000784																								
T cells CD4+ Tregs Foxp3+	regulatory T cell	CL:0000815	FOXP3+	PR:000001350 																						
interferon-gamma-positive T cells	T cell	CL:0000084	IFNG+	PR:000000017																						
IFN-gamma+ antigen specific T cell	T cell	CL:0000084	IFNG+	PR:000000017																						
all T-cells	T cell	CL:0000084																								
"transitional B cells (CD19+, CD24+, CD38+) (CL_0000818)"	transitional stage B cell	CL:0000818	"CD19+, CD24+, CD38+"	"PR:000001002, PR:000001932, PR:000001408"																						
CD38+ of transitional B cells	transitional stage B cell	CL:0000818	CD38+	PR:000001408																						
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
