	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	43	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	flow cytometry	Ki-67+ CD56bright Natural Killer cells; HLA-DR+ CD56bright Natural Killer cells; CD69+ CD56bright Natural Killer cells		cell activation state	up	COVID-19 patients vs healthy	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	2020-08-21	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	flow cytometry	Ki-67+ CD56dim Natural Killer cells; CD69+ CD56dim Natural Killer cells		cell activation state	up	moderate COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	2020-08-21	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	33	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	flow cytometry	Ki-67+ CD56dim Natural Killer cells; HLA-DR+ CD56dim Natural Killer cells; CD69+ CD56dim Natural Killer cells		cell activation state	up	severe COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	26	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	flow cytometry	Ki-67+ NKG2A+ CD56dim Natural Killer cells; HLA-DR+ NKG2A+ CD56dim Natural Killer cells; CD69+ NKG2A+ CD56dim Natural Killer cells		cell activation state	up	NKG2A+ CD56dim NK cells vs NKG2A- CD56dim NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1H	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	26	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	flow cytometry	HLA-DR+ CD57- CD56dim Natural Killer cells		cell activation state	up	moderate & severe COVID-19 patients: CD57- CD56dim NK cells vs CD57+ CD56dim NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1H	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	26	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	flow cytometry	Ki-67+ CD62L+ CD56dim Natural Killer cells; HLA-DR+ CD62L+ CD56dim Natural Killer cells		cell activation state	up	moderate & severe COVID-19 patients: CD62L+ CD56dim NK cells vs CD62L- CD56dim NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1H	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	26	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	flow cytometry	CD69+ CD62L- CD56dim Natural Killer cells		cell activation state	up	moderate & severe COVID-19 patients: CD62L- CD56dim NK cells vs CD62L+ CD56dim NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1H	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		directly ex vivo flow cytometry; MFI & percentage	perofrin CD56bright Natural Killer cells; MIP-1beta CD56bright Natural Killer cells; CD98 CD56bright Natural Killer cells; Tim-3 CD56bright Natural Killer cells; Granzyme B CD56bright Natural Killer cells		protein/cytokine levels	up	moderate COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 2C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F2/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78		32	Peripheral Blood Mononuclear Cells (PBMCs)		directly ex vivo flow cytometry; MFI & percentage	perofrin CD56bright Natural Killer Cells; MIP-1beta CD56bright Natural Killer cells; CD98 CD56bright Natural Killer cells; Tim-3 CD56bright Natural Killer cells; Granzyme B CD56bright Natural Killer cells; Ksp37 CD56bright Natural Killer cells		protein/cytokine levels	up	severe COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 2C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F2/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78		27	Peripheral Blood Mononuclear Cells (PBMCs)		directly ex vivo flow cytometry; MFI & percentage	CD98 CD56dim natural killer cells; Tim-3 CD56dim natural killer cells		protein/cytokine levels	up	moderate COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 2D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F2/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78		33	Peripheral Blood Mononuclear Cells (PBMCs)		directly ex vivo flow cytometry; MFI & percentage	CD98 CD56dim natural killer cells; Tim-3 CD56dim natural killer cells		protein/cytokine levels	up	severe COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 2D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F2/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	12	BAL NK Cells		gene set enrichment analysis; DEGs	GZMA, GZMB, PRF1, HAVCR2, CCL3, CCL4, CCL5		gene expression	up	COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 2K; paragraph before section "Impact of KIR expression..."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F2/ ; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/#__sec2title 	correlated with alphabeta T cells (percent (%) of total Bronchoalveolar Lavage Fluid Mononuclear Cells (BALFMCs))	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	12	NK Cells		gene set enrichment analysis; DEGs	LAG3		gene expression	up	moderate & severe COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 2K	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F2/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	9	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry	NKG2C+ CD57+ CD56dim Natural Killer cells		cell type frequency	up	severe COVID-19 patients vs moderate COVID-19 patients 	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	6	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry	NKG2C- CD57- CD56dim Natural Killer cells		cell type frequency	down	moderate COVID-19 patients vs healthy patients	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	9	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry	NKG2C- CD57- CD56dim Natural Killer cells		cell type frequency	down	severe COVID-19 patients vs healthy patients	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-02-14)	COVID-19 patients in Stockholm, Sweden	18	78	years	26	Peripheral Blood Mononuclear Cells (PBMCs)		"phenotypic assessment of CD56bright and CD56dim NK cells in the COVID-19 patients"	COVID-19 Patients: Ki67+ NKG2C- CD57- CD56dim Natural Killer cells		protein/cytokine levels	up	COVID-19 patients: Ki67+ NKG2C- CD57- CD56dim NK cells vs Ki67+ NKG2C+ CD57+CD56dim NK cells	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3I	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		scRNA-seq	HLA-E Natural Killer cells; HLA-E B cells; HLA-E epithelial cells; HLA-E mDCs; HLA-E T cells; HLA-E macrophages		protein/cytokine levels	up	moderate COVID-19 patients vs healthy	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3K	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	17	Peripheral Blood Mononuclear Cells (PBMCs)		scRNA-seq	HLA-E Natural Killer cells; HLA-E B cells;, HLA-E epithelial cells; HLA-E T cells; HLA-E macrophages		protein/cytokine levels	up	severe COVID-19 patients vs moderate COVID-19 patients	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3K	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		scRNA-seq	HLA-E Natural Killer cells; HLA-E B cells; HLA-E epithelial cells; HLA-E mDCs; HLA-E T cells; HLA-E macrophages		protein/cytokine levels	up	severe COVID-19 patientsvs healthy	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3K	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-08-24)	COVID-19 patients in Stockholm, Sweden	18	78	years	34	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; NPX	NKG2C+CD57+ CD56dim NK cells		cell type frequency	positively correlated	correlated with soluble factor AREG	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3L	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-08-24)	COVID-19 patients in Stockholm, Sweden	18	78	years	34	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; NPX	NKG2C+CD57+ CD56dim NK cells		cell type frequency	negatively correlated	correlated with soluble factors: LTalpha, IFNgamma, IL-12beta 	time of admission	0 to 5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 3L	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F3/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	24	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; NPX	perforin CD56bright natural killer Cells; Granzyme B CD56bright natural killer Cells		protein/cytokine levels	positively correlated	correlated with IL-6 (NPX) levels	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	25	CD56bright NK cell		Spearman's correlations; MFI & percentage	perforin		protein/cytokine levels	positively correlated	correlated with SOFA and SOFA-R scores	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	25	CD56bright NK cell		Spearman's correlations; MFI 	perforin		protein/cytokine levels	positively correlated	correlated with neutrophils (x10E9/L)	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	25	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; MFI & percentage	granzyme B CD56bright natural killer Cells; CD25 CD56bright natural killer Cells; CD25 CD56bright natural killer Cells; perforin CD56bright natural killer Cells		protein/cytokine levels	positively correlated	correlated with perforin (MFI) expression on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/	Clarify: Perforin expression measured as MFI positively correlated with CD25 MFI and % expression and perforin expression measured as %. 	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	25	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; MFI	CD56bright natural killer cells		cell type frequency	positively correlated	correlated with granzyme B (MFI) expression on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	25	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; MFI	peforin CD56bright natural killer Cells; CD25 CD56bright natural killer Cells; Ksp37 CD56bright natural killer Cells; CD25 CD56bright natural killer Cells; Granzyme B CD56bright natural killer Cells		protein/cytokine levels	positively correlated	correlated with granzyme B (MFI) expression on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/	Clarify: Granzyme B expression measured as MFI positively correlated with CD25 MFI and % expression and granzyme B expression measured as %. 	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	25	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; MFI	perforin CD56dim natural killer Cells		protein/cytokine levels	positively correlated	correlated with perforin (MFI) expression on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/	Clarify: Perforin expression (MFI) on CD56bright NK cells positively correlated with perforin expression (MFI) on CD56dim NK cells. 	
