""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
""	"lymphocyte"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"lymphocytes (bound to BD TruCount beads)"	"N"	"cell-type frequency"	"negatively correlated"	"lymphocyte count vs disease severity"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Supp Fig. 1"	""	"CL:0000542"	""	""	"lymphocyte"	"1"	"1"	"32650275_1_84"
""	"natural killer cell (CD45+, CD19-, CD56-, CD3+); mature NK T cell (CD45+, CD19-, CD56-, CD3+); mature gamma-delta T cell (CD3+, CD45RA+); CD8-positive, alpha-beta T cell (CD45+, CD19-, CD56-, CD3+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"NK cell (CD45+, CD19-, CD56+, CD3-); NK T cell (CD45+, CD19-, CD56+, CD3+); TCRgammadelta+ T cell (CD45+, CD3+, TCRgammadelta+); CD8 T cell (CD45+, CD19-, CD56-, CD3+, CD8+)"	"N"	"cell-type frequency"	"down"	"severe disease vs mild disease"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 1"	""	"CL:0000623; CL:0000814; CL:0000800; CL:0000625"	"(CD45+, CD19-, CD56-, CD3+); (CD3+, CD45RA+)"	"PR:000001006, PR:000001002, PR:000001024, PR:000001020; PR:000001020, PR:000001015"	"natural killer cell (CD45+, CD19-, CD56-, CD3+); mature NK T cell (CD45+, CD19-, CD56-, CD3+); mature gamma-delta T cell (CD3+, CD45RA+); CD8-positive, alpha-beta T cell (CD45+, CD19-, CD56-, CD3+)"	"4"	"4"	"32650275_2_85"
""	"B cell, CD19-positive (CD45+, CD3-); natural killer cell (CD45+, CD19-, CD56-, CD3+); mature NK T cell (CD45+, CD19-, CD56-, CD3+); mature gamma-delta T cell (CD3+, CD45RA+); CD8-positive, alpha-beta T cell (CD45+, CD19-, CD56-, CD3+); CD4-positive, alpha-beta T cell (CD45+, CD19-, CD3+); CD4-positive, CD25-positive, alpha-beta regulatory T cell (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"B cell (CD45+, CD19+, CD3-); NK cell (CD45+, CD19-, CD56+, CD3-); NK T cell (CD45+, CD19-, CD56+, CD3+); TCRgammadelta+ T cell (CD45+, CD3+, TCRgammadelta+); Vgamma9- T cell (CD45+, CD3+, TCRgammadelta+, Vgamma9-); Vgamma9+ T cell (CD45+, CD3+, TCRgammadelta+, Vgamma9+); CD8 T cell (CD45+, CD19-, CD56-, CD3+, CD8+); CD4 Tcell (CD45+, CD19-, CD3+, CD4+); T reg cell (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)"	"N"	"cell-type frequency"	"down"	"severe disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 1"	""	"CL:0001201; CL:0000623; CL:0000814; CL:0000800; CL:0000625; CL:0000624; CL:0000792"	"(CD45+, CD3-); (CD45+, CD19-, CD56-, CD3+); (CD3+, CD45RA+); (CD45+, CD19-, CD3+); (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)"	"PR:000001006, PR:000001020; PR:000001006, PR:000001002, PR:000001024, PR:000001020; PR:000001020, PR:000001015; PR:000001006, PR:000001002, PR:000001020; PR:000001006, PR:000001002, PR:000001020, PR:000001004, PR:000001380, PR:000001869"	"B cell, CD19-positive (CD45+, CD3-); natural killer cell (CD45+, CD19-, CD56-, CD3+); mature NK T cell (CD45+, CD19-, CD56-, CD3+); mature gamma-delta T cell (CD3+, CD45RA+); CD8-positive, alpha-beta T cell (CD45+, CD19-, CD56-, CD3+); CD4-positive, alpha-beta T cell (CD45+, CD19-, CD3+); CD4-positive, CD25-positive, alpha-beta regulatory T cell (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)"	"9"	"9"	"32650275_3_86"
""	"B cell, CD19-positive (CD45+, CD3-); CD4-positive, CD25-positive, alpha-beta regulatory T cell (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"B cell (CD45+, CD19+, CD3-); T reg cell (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)"	"N"	"cell-type frequency"	"down"	"mild disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig.1"	""	"CL:0001201; CL:0000792"	"(CD45+, CD3-); (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)"	"PR:000001006, PR:000001020; PR:000001006, PR:000001002, PR:000001020, PR:000001004, PR:000001380, PR:000001869"	"B cell, CD19-positive (CD45+, CD3-); CD4-positive, CD25-positive, alpha-beta regulatory T cell (CD45+, CD19-, CD3+, CD4+, CD25+, CD127low)"	"2"	"2"	"32650275_4_87"
""	"effector memory CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"conventional CD4 effector/effector memory T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-)"	"N"	"cell-type frequency"	"down"	"severe disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2A, Supp Fig. 3A"	""	"CL:0000905"	"(CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001004, PR:000001380, PR:000001869, PR:000001015, PR:000001318"	"effector memory CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-)"	"1"	"1"	"32650275_5_88"
""	"CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"conventional CD4 terminally differentiated T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)"	"N"	"cell-type frequency"	"up"	"severe disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2A, Supp Fig. 3A"	""	"CL:0000624"	"(CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001004, PR:000001380, PR:000001869, PR:000001015, PR:000001318"	"CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)"	"1"	"1"	"32650275_6_89"
""	"CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-); central memory CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"conventional CD4 terminally differentiated T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-); conventional CD4 T central memory cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)"	"N"	"cell-type frequency"	"up"	"mild disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2A, Supp Fig. 3A"	""	"CL:0000624; CL:0000904"	"(CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-); (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001004, PR:000001380, PR:000001869, PR:000001015, PR:000001318"	"CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-); central memory CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)"	"2"	"2"	"32650275_7_90"
""	"naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+); effector memory CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"CD8 naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+); CD8 effector/effector memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L-)"	"N"	"cell-type frequency"	"up"	"severe disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2B, Supp Fig. 3B"	""	"CL:0000898; CL:0000913"	"(CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+); (CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001084, PR:000001015, PR:000001318; PR:000001020, PR:000001024, PR:000001002, PR:000001015, PR:000001318"	"naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+); effector memory CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"2"	"2"	"32650275_8_91"
""	"CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+); central memory CD8-positive, alpha-beta T cell"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"CD8 terminally differentiated T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L-); CD8 central memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L+)"	"N"	"cell-type frequency"	"down"	"severe disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2B, Supp Fig. 3B"	""	"CL:0000625; CL:0000907"	"(CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+); "	"PR:000001020, PR:000001024, PR:000001002, PR:000001084, PR:000001015, PR:000001318; "	"CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+); central memory CD8-positive, alpha-beta T cell"	"2"	"2"	"32650275_9_92"
""	"effector memory CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"CD8 effector/effector memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L-)"	"N"	"cell-type frequency"	"up"	"mild disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2B, Supp Fig. 3B"	""	"CL:0000913"	"(CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001015, PR:000001318"	"effector memory CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"1"	"1"	"32650275_10_93"
""	"naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"CD8 naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"N"	"cell-type frequency"	"down"	"mild disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2B, Supp Fig. 3B"	""	"CL:0000898"	"(CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001084, PR:000001015, PR:000001318"	"naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"1"	"1"	"32650275_11_94"
""	"naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"CD8 naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"N"	"cell-type frequency"	"up"	"severe disease vs mild disease"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2B, Supp Fig. 3B"	""	"CL:0000898"	"(CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001084, PR:000001015, PR:000001318"	"naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"1"	"1"	"32650275_12_95"
""	"effector memory CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"CD8 effector/effector memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L-)"	"N"	"cell-type frequency"	"down"	"severe disease vs mild disease"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 2B, Supp Fig. 3B"	""	"CL:0000913"	"(CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001015, PR:000001318"	"effector memory CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD45RA+, CD62L+)"	"1"	"1"	"32650275_13_96"
""	"mature gamma-delta T cell (CD3+, CD45RA+, CD62L+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"TCRgammadelta naive T cell (CD3+, TCRgammadelta+, CD45RA+, CD62L+)"	"N"	"cell-type frequency"	"up"	"mild disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Figs. 3A, 3B"	""	"CL:0000800"	"(CD3+, CD45RA+, CD62L+)"	"PR:000001020, PR:000001015, PR:000001318"	"mature gamma-delta T cell (CD3+, CD45RA+, CD62L+)"	"1"	"1"	"32650275_14_97"
""	"mature gamma-delta T cell (CD3+, CD45RA-, CD62L-); mature gamma-delta T cell (CD3+, CD45RA-, CD62L+); mature gamma-delta T cell (CD3+, CD45RA+, CD62L-)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"TCRgammadelta effector/effector memory T cell (CD3+, TCRgammadelta+, CD45RA-, CD62L-); TCRgammadelta central memory T cell (CD3+, CD3+, TCRgammadelta+, CD45RA-, CD62L+); TCRgammadelta terminally differentiated T cell (CD3+, CD3+, TCRgammadelta+, CD45RA+, CD62L-)"	"N"	"cell-type frequency"	"down"	"severe disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Figs. 3A, 3B"	""	"CL:0000800"	"(CD3+, CD45RA-, CD62L-); (CD3+, CD45RA-, CD62L+); (CD3+, CD45RA+, CD62L-)"	"PR:000001020, PR:000001015, PR:000001318"	"mature gamma-delta T cell (CD3+, CD45RA-, CD62L-); mature gamma-delta T cell (CD3+, CD45RA-, CD62L+); mature gamma-delta T cell (CD3+, CD45RA+, CD62L-)"	"3"	"3"	"32650275_15_98"
""	"mature gamma-delta T cell (CD3+, CD45RA-, CD62L-)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"TCRgammadelta effector/effector memory T cell (CD3+, TCRgammadelta+, CD45RA-, CD62L-)"	"N"	"cell-type frequency"	"down"	"mild disease vs healthy control"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Figs. 3A, 3B"	""	"CL:0000800"	"(CD3+, CD45RA-, CD62L-)"	"PR:000001020, PR:000001015, PR:000001318"	"mature gamma-delta T cell (CD3+, CD45RA-, CD62L-)"	"1"	"1"	"32650275_16_99"
